方向记录,匹配状态,原因/车来了方向
10路(恒福路总站--昌岗路总站),已匹配,23/23
10路(昌岗路总站--恒福路总站),已匹配,24/24
11路(大元帅府总站--广州火车东站总站),已匹配,19/20
11路(广州火车东站总站--大元帅府总站),已匹配,23/24
121A路(珠江帝景苑总站--芳和花园总站),已匹配,29/30
121A路(芳和花园总站--珠江帝景苑总站),已匹配,32/33
121路(珠江帝景苑总站--西塱社区总站),已匹配,25/27
121路(西塱社区总站--珠江帝景苑总站),已匹配,29/32
122路(丽江花园总站--广州火车东站总站),已匹配,18/18
122路(广州火车东站总站--丽江花园总站),已匹配,15/15
124路(云苑新村总站--滘口客运站总站),已匹配,17/17
124路(滘口客运站总站--云苑新村总站),已匹配,17/17
125路(丽江花园总站--花园酒店站),已匹配,20/20
125路(花园酒店站--丽江花园总站),已匹配,19/19
126路(凰岗总站--天河客运站总站),已匹配,33/33
126路(天河客运站总站--凰岗总站),已匹配,34/34
128路(海印桥总站--珠岛花园总站),已匹配,23/23
128路(珠岛花园总站--海印桥总站),已匹配,21/21
129路(南国奥林匹克花园总站--锦城花园(东风东)总站),已匹配,28/31
129路(锦城花园总站(东风东)--南国奥林匹克花园总站),已匹配,31/31
12A路环线(万科四季花城总站--万科四季花城总站),未匹配,missing
130路(华景新城总站--大塘总站),已匹配,20/20
130路(大塘总站--华景新城总站),已匹配,21/21
131A路(赤岗总站--赤岗总站),已匹配,32/34
131B路(赤岗总站--赤岗总站),已匹配,35/37
133路(中山八路总站--龙口西(穗园小区)总站),已匹配,20/20
133路(龙口西(穗园小区)总站--中山八路总站),已匹配,21/21
134路(一德西总站--泽德花苑总站),已匹配,21/21
134路(泽德花苑总站--一德西总站),已匹配,18/18
136路(南湖总站--天河公交场总站),已匹配,22/22
136路(天河公交场总站--南湖总站),已匹配,23/23
137路(广州火车东站总站--新洲码头总站),已匹配,25/25
137路(新洲码头总站--广州火车东站总站),已匹配,23/23
138路(东莞庄总站--华成路总站),已匹配,16/16
138路(华成路总站--东莞庄总站),已匹配,16/16
