线路,方向记录,站名,原平台ID,状态,说明
番60路,番60路(化龙驾驶人考场--地铁新造站),化龙教练场,BV11018446,skip,无同族平台距车来了坐标≤80m(最近12636949)
南沙49路,南沙49路(三姓路--大岗公交总站),黄阁大道中站,BV09026668,skip,车来了无此站数据
番141路,番141路(江南路站--市桥汽车站),黄阁大道中站,BV09026668,skip,车来了无此站数据
南沙65路,南沙65路(市桥汽车站--潭洲车站),潭洲市场站,BV09302206,skip,无同族平台距车来了坐标≤80m(最近232)
南沙65路,南沙65路(潭洲车站--市桥汽车站),潭洲市场站,BV09302206,skip,无同族平台距车来了坐标≤80m(最近207)
番142路,番142路(潭洲车站--市桥汽车站),潭洲市场站,BV09302206,skip,无同族平台距车来了坐标≤80m(最近194)
莞616路,莞616路(富民路--黄埔新港),华阳湖路口,BV10494263,skip,车来了无此站数据
花都113路,花都113路(皮革城站--田美上庄),美国工业园,BV10015587,skip,车来了无此站数据
莞619路,莞619路(城际麻涌站--城际麻涌站),华阳湖路口,BV10494263,skip,车来了无此站数据
莞619路,莞619路(城际麻涌站--城际麻涌站),华阳湖路口,BV10494263,skip,车来了无此站数据
728路,728路(地铁龙归站总站--良田村委总站),北太路柏塘村口站,BV11166353,skip,无同族平台距车来了坐标≤80m(最近603)
837路,837路(太和总站--江高小塘总站),鹤龙四路(龙兴西路口)2,BV09226081,applied,"鹤龙四路(龙兴西路口)1站(原行知学院站)(24m,距几何26m)"
南55路,南55路(高铁庆盛站--新兴村委总站),高铁庆盛站1,BV09410623,skip,车来了无此站数据
222路,222路(芳村丰年路总站--地铁五羊邨站总站),西塱,BV11687844,skip,方向记录中无此站
69路,69路(汾水小区总站--大塘总站),西塱,BV11687844,skip,方向记录中无此站
70路,70路(水秀一路总站--沥滘总站),西塱,BV11687844,skip,方向记录中无此站
91路,91路(南方茶叶市场总站--珠光路总站),西塱,BV11687844,skip,方向记录中无此站
夜103路,夜103路(穗盐路总站--地铁江泰路站总站),西塱,BV11687844,skip,方向记录中无此站
广565路,广565路(穗盐路总站--瑞宝乡总站),西塱,BV11687844,skip,方向记录中无此站
302A路,302A路(广州火车东站总站--雅居乐总站),林和西路,BV11688381,skip,方向记录中无此站
从906路,从906路(从化汽车站总站--龙新村委),灌村中学,BV11115207,skip,车来了无此站数据
夜74路,夜74路(广州火车东站总站--太和总站(沙亭岗村)),太和文化广场,BV09005242,skip,无同族平台距车来了坐标≤80m(最近148)
6路,6路(天河北公交总站--黄沙总站),广州体院,BV09375062,skip,方向记录中无此站
985路,985路(太和总站--地铁高增站总站),太和文化广场,BV09005242,skip,无同族平台距车来了坐标≤80m(最近148)
夜86路,夜86路(太和总站--地铁龙归站总站),太和文化广场,BV09005242,applied,"太和文化广场2(7m,距几何11m)"
莞615路,莞615路(中堂城轨站--中堂城轨站),中堂路口,BV10262823,skip,无同族平台距车来了坐标≤80m(最近179)
南36路,南36路(西樵幼儿园站--东涌湖公交总站),太石工业区站,BV09305166,skip,车来了无此站数据
番5路,番5路(大罗村(市广路)--太石工业区总站),太石工业区站,BV09305166,skip,车来了无此站数据
番5路长线,番5路长线(大罗村(市广路)--太石村委),太石工业区,BV09305166,skip,车来了无此站数据
335路,335路(科学城彩频路总站--云埔一路总站),云埔工业区,BV11687962,skip,无同族平台距车来了坐标≤80m(最近455)
增城4路,增城4路(横塱村委--康健公司),横塱村,BV10015371,skip,无同族平台距车来了坐标≤80m(最近696)
番5路,番5路(太石工业区总站--大罗村(市广路)站),太石工业区站,BV09305166,skip,车来了无此站数据
广974路,广974路(金沙洲码头总站--山口园路站),金沙洲路站,BV11688450,skip,车来了无此站数据
246路,246路(太和(丰泰横路)总站--广州火车东站总站),太和文化广场,BV09005242,applied,"太和文化广场2(7m,距几何2m)"
53路,53路(杨桃公园总站--宝岗大道总站),宝岗大道北,BV10016120,skip,无同族平台距车来了坐标≤80m(最近340)
973路,973路(太和(丰泰横路)总站--兴丰村总站),太和文化广场,BV09005242,applied,"太和文化广场2(7m,距几何2m)"
976路,976路(竹三村总站--太和总站),太和文化广场,BV09005242,applied,"太和文化广场2(7m,距几何2m)"
夜74路,夜74路(太和总站(沙亭岗村)--广州火车东站总站),太和文化广场,BV09005242,applied,"太和文化广场2(7m,距几何2m)"
825路,825路(江高总站(大松岗)--广州佐航花都雅瑶恒通汽车站总站),雄丰路口站,BV11688084,skip,车来了无此站数据
南沙18路,南沙18路(蕉门地铁(区政府)站--南沙湾总站),金岭南路站,BV10015855,skip,无同族平台距车来了坐标≤80m(最近792)
南沙49路,南沙49路(大岗公交总站--三姓路站),金岭南路站,BV10015855,skip,无同族平台距车来了坐标≤80m(最近792)
番141路,番141路(市桥汽车站--江南路站),金岭南路站,BV10015855,skip,车来了无此站数据
825路,825路(江高总站(大松岗)--广州佐航花都雅瑶恒通汽车站总站),郭塘站,BV09245330,skip,车来了无此站数据
825路,825路(雅瑶公交总站--江高总站),郭塘,BV09245330,skip,车来了无此站数据
增城39路,增城39路(仙村公交总站--尚东阳光),仙村路口站,BV11690284,skip,无同族平台距车来了坐标≤80m(最近140)
B24路,B24路(车陂总站--黄埔低空经济创新中心总站),车陂南站,BV10014565,skip,无同族平台距车来了坐标≤80m(最近227)
番182路,番182路(沙溪大道东总站--周山岗总站),地铁会江站,BV10023162,skip,无同族平台距车来了坐标≤80m(最近2164)
541路,541路(恒宝广场总站--汇景新城东总站),白云路站,BV11688476,applied,"白云路1(17m,距几何27m)"
夜39路,夜39路(恒宝广场总站--科韵路总站),白云路站,BV11688476,applied,"白云路1(17m,距几何27m)"
广231路,广231路(和顺车站总站--广州火车站(草暖公园)总站),金沙洲路,BV11688450,applied,"金沙洲路2(12m,距几何3m)"
广277路,广277路(沙面新城总站--西塱社区总站),西塱,BV11687844,skip,方向记录中无此站
503路,503路(天河客运站总站--杨桃公园总站),车陂南,BV10014565,skip,无同族平台距车来了坐标≤80m(最近227)
广276路,广276路(万科四季花城总站--南洲北路总站),金沙洲路,BV11688450,skip,方向记录中无此站
471路,471路(石湖镇东路总站--草庄村总站),太和文化广场,BV09005242,skip,车来了无此站数据
976路,976路(太和总站--竹三村总站),太和文化广场,BV09005242,skip,无同族平台距车来了坐标≤80m(最近148)
南50路,南50路(励业染厂站--鱼窝头二中站),太石工业区站,BV09305166,skip,车来了无此站数据
番150路,番150路(儿童公园总站--鱼窝头车站),太石工业区站,BV09305166,skip,无同族平台距车来了坐标≤80m(最近678)
帽峰山旅游专线1线,帽峰山旅游专线1线(太和地铁站A口--帽峰山森林公园),太和文化广场,BV09005242,skip,车来了无此站数据
21路,21路(解放北路总站(应元路口)--均禾工业区总站(清湖村)),平沙,BV11688453,skip,车来了坐标距原平台仅13m，无需换台
广974路班车,广974路班车(城西花园站--东秀路总站),金沙洲路,BV11688450,skip,方向记录中无此站
广夜91路,广夜91路(金沙洲码头总站--西华村总站),金沙洲路,BV11688450,skip,方向记录中无此站
广231路,广231路(广州火车站总站--和顺车站总站),金沙洲路,BV11688450,skip,方向记录中无此站
126路,126路(凰岗总站--天河客运站总站),元岗路,BV10016357,skip,无同族平台距车来了坐标≤80m(最近223)
夜90路,夜90路(凰岗总站--天河客运站总站),元岗路,BV10016357,skip,无同族平台距车来了坐标≤80m(最近223)
从408路,从408路(爱群村委--鳌头公交总站),龙潭路口,BV10877113,skip,无同族平台距车来了坐标≤80m(最近179)
21路,21路(均禾工业区总站(清湖村)--解放北路总站(应元路口)),清湖村口,BV11690766,skip,方向记录中无此站
566路,566路(永和总站--黄埔新城(沙步一横路)总站),云埔工业区,BV11687962,skip,无同族平台距车来了坐标≤80m(最近455)
花18路,花18路(中建映花悦府--新和村),花都广场,BV10016943,applied,"花都广场(区政府)(22m,距几何11m)"
花18路,花18路(新和村--中建映花悦府),花都广场,BV10016943,applied,"花都广场(区政府)(22m,距几何16m)"
