站名,原平台ID,状态,说明
金沙洲路,BV11688450,updated,"车来了(113.202966,23.158916) 来源1个方向"
林和西路,BV11688381,skip,车来了无此站坐标
建设大道中,BV10713679,skip,车来了无此站坐标
云埔工业区,BV11687962,updated,"车来了(113.519566,23.149766) 来源9个方向"
金岭南路站,BV10015855,updated,"车来了(113.554346,22.764156) 来源6个方向"
南方大厦站,BV11688451,skip,车来了无此站坐标
科学城路口,BV11467027,updated,"车来了(113.412346,23.160466) 来源4个方向"
大沙东,BV11248514,updated,"车来了(113.452826,23.108886) 来源3个方向"
新兴村委总站,BV11324534,updated,"车来了(113.474386,22.737526) 来源2个方向"
四角围,BV09404948,updated,"车来了(113.119806,23.371366) 来源2个方向"
凰岗总站,BV10014033,updated,"车来了(113.213796,23.199526) 来源4个方向"
大塘总站,BV10016431,updated,"车来了(113.321016,23.083686) 来源1个方向"
联和2,BV09226063,skip,车来了坐标距原平台3m，无需派生
广州火车东站总站,BV10013973,updated,"车来了(113.320166,23.150696) 来源1个方向"
市一医院,BV10019584,updated,"车来了(113.253076,23.132796) 来源2个方向"
车陂南,BV10014565,updated,"车来了(113.385826,23.117606) 来源1个方向"
仑头总站,BV10796283,skip,车来了无此站坐标
开创大道口,BV10884933,updated,"车来了(113.539506,23.107546) 来源1个方向"
锦绣新天地,BV11102414,updated,"车来了(113.617846,23.123986) 来源2个方向"
博汇商业区总站,BV11658178,updated,"车来了(113.499666,23.066966) 来源6个方向"
永兴村口,BV11171943,updated,"车来了(113.320706,23.276926) 来源1个方向"
空港大道,BV11621666,skip,车来了无此站坐标
地铁嘉禾望岗站总站,BV10014401,skip,车来了无此站坐标
钟落潭(白云星汇城)总站,BV09298089,updated,"车来了(113.400126,23.381616) 来源1个方向"
千灯湖地铁站,BV10329387,updated,"车来了(113.149986,23.058666) 来源2个方向"
黄阁大道中站,BV09026668,updated,"车来了(113.511396,22.828876) 来源1个方向"
东盛路总站,BV11622300,updated,"车来了(113.381416,22.931636) 来源6个方向"
花都广场,BV10016943,updated,"车来了(113.216966,23.405446) 来源2个方向"
广州火车东站总站,BV10013973,updated,"车来了(113.320166,23.150696) 来源1个方向"
白云宾馆,BV11009137,updated,"车来了(113.280646,23.139386) 来源2个方向"
凰岗总站,BV10014033,updated,"车来了(113.213796,23.199526) 来源4个方向"
凰岗总站,BV10014033,updated,"车来了(113.213796,23.199526) 来源4个方向"
东晓南路,BV10013742,updated,"车来了(113.280616,23.092236) 来源1个方向"
中山八路总站,BV10014194,skip,车来了坐标距原平台91m，无需派生
坑口地铁站总站,BV09073347,updated,"车来了(113.227226,23.081046) 来源1个方向"
海印桥南,BV11688474,skip,车来了无此站坐标
江海大道中,BV11687940,updated,"车来了(113.327216,23.094436) 来源1个方向"
犀牛角村总站,BV10382244,updated,"车来了(113.335036,23.195856) 来源1个方向"
大塘西总站(敦和),BV11472988,skip,车来了无此站坐标
芳村客运站,BV10014060,skip,车来了无此站坐标
员村总站,BV10389050,updated,"车来了(113.366176,23.117726) 来源1个方向"
员村总站,BV10389050,updated,"车来了(113.366176,23.117726) 来源1个方向"
站南路总站,BV09012353,skip,车来了坐标距原平台24m，无需派生
科城山庄总站,BV10846983,skip,车来了坐标距原平台100m，无需派生
家和天曜总站,BV11448213,updated,"车来了(113.427456,23.144076) 来源1个方向"
黄埔新港站,BV09230886,skip,车来了无此站坐标
新聚福,BV11688089,updated,"车来了(113.607616,23.124576) 来源1个方向"
丹水坑风景区总站,BV10022013,skip,车来了无此站坐标
东圃总站,BV10019425,updated,"车来了(113.402136,23.117816) 来源1个方向"
官海街口,BV10382343,updated,"车来了(113.281876,23.288156) 来源2个方向"
护林路东总站,BV10018089,skip,车来了坐标距原平台66m，无需派生
平沙路口站,BV09000463,skip,车来了无此站坐标
集贤苑教师新村,BV11482216,updated,"车来了(113.295736,23.238026) 来源1个方向"
永和医院站,BV09173363,skip,车来了无此站坐标
钟落潭高校园,BV11166864,updated,"车来了(113.432926,23.389526) 来源1个方向"
行知学院,BV11171948,skip,车来了无此站坐标
民营科技园门口,BV10021372,updated,"车来了(113.328486,23.298096) 来源1个方向"
南医大五附院站,BV11623857,skip,车来了无此站坐标
嘉洲广场,BV11689448,updated,"车来了(113.184546,23.111896) 来源2个方向"
中山大学附属第一(南沙)医院,BV09077732,skip,车来了坐标距原平台5m，无需派生
汽车城地铁站,BV10016577,skip,车来了无此站坐标
含珠村站,BV10018454,skip,车来了无此站坐标
坦尾村站,BV11161928,skip,车来了无此站坐标
北斗渡口站,BV09009791,skip,车来了无此站坐标
邮轮母港站,BV09099109,updated,"车来了(113.602536,22.775886) 来源1个方向"
仙村路口站,BV11690284,updated,"车来了(113.709916,23.192776) 来源1个方向"
七境村,BV11119670,updated,"车来了(113.823056,23.528946) 来源2个方向"
灵山墟,BV11119627,updated,"车来了(113.819986,23.530576) 来源2个方向"
田美上庄,BV10970181,skip,车来了无此站坐标
赤坭,BV11375043,skip,车来了无此站坐标
珠宝城,BV10019572,updated,"车来了(113.157696,23.398046) 来源2个方向"
旗新村,BV10462375,updated,"车来了(113.212076,23.476606) 来源2个方向"
美国工业园,BV10015587,skip,车来了无此站坐标
