线路A,线路B,重叠站数
655B路,655路（三达路跨线桥首末站 ⇄ 大塘汽车客运站）,61
655A线,655路（三达路跨线桥首末站 ⇄ 大塘汽车客运站）,55
655A线,655B路,53
564路,夜100路,47
番93路,番93路短线,47
从4路,从4路快线,43
花68路,花68路白坭班车,42
从5路,从夜1路,41
从5路长线,从夜1路,40
从5路,从5路长线,39
840路,夜94路,38
从14路,从19路,38
花68路,花68路短线,38
花68路白坭班车,花68路短线,38
706路,706路早间短线,37
从18路,从901路,37
从901路,从902路,37
997路,夜128路,36
B3路,夜19路,36
126路,夜90路,35
B4路,夜38路,35
从18路,从902路,35
541路,夜39路,34
南沙70路,番141路,34
番13路,番91路,34
番17路,番17路长线,34
504路,夜74路,33
番5路,番5路长线,33
番92路/番92路,番93路,33
番92路/番92路,番93路短线,33
番9路,番9路长线,33
556路,夜26路,32
从11路,从12路,32
花21路,花21路夜班,32
314路,佛314路,31
548路,夜93路,31
8路,夜6路,31
544路,夜32路,30
B8路,夜36路,30
佛236路,佛251路,30
南沙65路,番142路,30
增城32路内环,增城32路外环,30
花63路,花63路短线,30
215路,夜21路,29
569路,夜49路,29
增城35路,增夜4路,29
番97路,番99路,29
301路,番91路,28
527路,夜120路,28
551路,59路,28
花88路,花88路短线,28
129路,夜102路,27
244路,夜22路,27
246路,夜74路,27
472路,825路,27
521路,夜3路,27
563路,夜76路,27
82路,夜33路,27
88路,夜30路,27
943路,夜104路,27
B15路,夜13路,27
128路,夜31路,26
1路,夜1路,26
236路,夜69路,26
301路,番13路,26
527路,527路机电班车,26
527路机电班车,夜120路,26
715路,夜92路,26
84A路,夜71路,26
B24路,夜97路,26
从10路,从9路,26
里07路,里07路高峰线,26
14路,夜8路,25
226路,夜45路,25
519路,夜107路,25
714路,夜116路,25
夜122路,广424路,25
夜25路,夜41路,25
广281路,广夜67路,25
131A路,131B路,24
191路,夜89路,24
261路,518路,24
311路,夜133路,24
B1路,夜41路,24
南沙65路,南沙67路,24
增城15路,增城16路,24
206路,夜29路,23
244A路,244路,23
244A路,夜22路,23
261路,夜18路,23
298路,32路,23
301路,番99路,23
31路,夜7路,23
333路,345A路,23
345A路,83路,23
39路,夜10路,23
582路,582路班车,23
6路,夜5路,23
B28路,夜41路,23
南沙70路,番11路,23
广283路,广283路班车,23
番13路,番25路,23
番13路,番96路,23
番91路,番96路,23
17路,夜2路,22
182路,24路,22
301路,番97路,22
46路,高峰快线80路,22
