候选,BV站点ID
广州大道中#1 ↔ 广州大道中#2  [广州大道中①],BV09382002 / BV10014367 / BV11687847 / BV09230306
广州大道中#1 ↔ 广州大道中#2  [广州大道中②],BV09230306 / BV10014367 / BV11687847
五洲装饰城(地铁厦滘站) ↔ 五洲装饰城  [五洲装饰城（地铁厦滘站）],BV11689280 / BV10681282 / BV10681281
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨)  [广州大桥北（五羊邨）②],BV09005177 / BV11474544 / BV09377936
江南新村(骨伤科医院)#1 ↔ 江南新村  [江南新村（骨伤科医院）],BV10018367 / BV09276322 / BV09387478
江南新村(骨伤科医院)#1 ↔ 江南新村  [江南新村（骨伤科医院）],BV10018367 / BV09276324 / BV09387478
五洲装饰城(地铁厦滘站) ↔ 五洲装饰城  [五洲装饰城（地铁厦滘站）],BV11689280 / BV10681281 / BV09291068
开创大道(时代天境) ↔ 开创大道#2 ↔ 开创大道#1  [开创大道（时代天境）],BV09254012 / BV09256769 / BV10653045
龙星村#1 ↔ 龙星村#2  [龙星村①],BV11352898 / BV11352903 / BV11352902
白沙总 ↔ 白沙(中海金沙湾)总 ↔ 白沙总站(中海金沙湾)  [白沙（中海金沙湾）总站],BV11585800 / BV11341395 / BV10572835
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨)  [广州大桥北（五羊邨）①],BV09005177 / BV11474544
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨)  [广州大桥北（五羊邨）③],BV09005177 / BV11474544
石井(广东兵工厂旧址)#1 ↔ 石井#1  [石井（广东兵工厂旧址）],BV09368725 / BV09368284
东山口站(东华北路) ↔ 东山口(东华北路)  [东山口（东华北路） / 东山口（东华北路）②],BV10693291 / BV11448834
广州大桥北站(五羊邨) ↔ 广州大桥北(五羊邨)  [广州大桥北（五羊邨）②],BV11474544 / BV09005177
广州大道中#1 ↔ 广州大道中#2  [广州大道中③],BV11687847 / BV10014367
花城大道(华穗路口)#1 ↔ 花城大道(华穗路口)#2  [花城大道],BV11462417 / BV11474543
赤沙总 ↔ 赤沙(广东财经大学)总  [赤沙（广东财经大学）总站],BV10015733 / BV11554062
广州火车站总 ↔ 广州火车站(草暖公园)总  [广州火车站（草暖公园）总站],BV10014059 / BV09330045
南洲路总站(小洲南路口) ↔ 南洲路(小洲南路口)总  [南洲路（小洲南路口）总站],BV09243517 / BV09244066
华景新城(翰景路)总 ↔ 华景新城总站(翰景路)  [华景新城（翰景路）总站],BV11578887 / BV11107113
花城大道(华穗路口)#1 ↔ 花城大道(华穗路口)#2  [花城大道],BV11462417 / BV11474543
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨)  [广州大桥北（五羊邨）①],BV09005177 / BV11474544
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨)  [广州大桥北（五羊邨）3],BV09005177 / BV11474544
东山总站(署前路) ↔ 东山(署前路)总  [东山（署前路）总站],BV10021758 / BV09347831
东山龟岗(中共三大会址)总 ↔ 东山龟岗总  [东山龟岗（中共三大会址）总站],BV10416004 / BV11625413
罗冲围总站(松南路) ↔ 罗冲围(松南)总  [罗冲围（松南路）总站],BV10016552 / BV09400280
黄石东(白云尚城)总 ↔ 黄石东总  [黄石东（白云尚城）总站],BV10832133 / BV10013663
黄石东(白云尚城)总 ↔ 黄石东总  [黄石东（白云尚城）总站],BV10832133 / BV10013663
广州大道中#2 ↔ 广州大道中#1  [广州大道中①],BV10014367 / BV09382002
富力桃园(增埗村)总 ↔ 富力桃园总站(增埗村)  [富力桃园（增埗村）总站],BV11044096 / BV11639167
迎龙路(石门禅院) ↔ 迎龙路#2  [迎龙路（石门禅院）],BV09396367 / BV09345882
科学城(揽月路)总 ↔ 科学城总站(揽月路)  [科学城（揽月路）总站 / 科学城（揽月路）总站①],BV09199365 / BV09266626
开创大道#1 ↔ 开创大道(香雪山南)  [开创大道（香雪山南）],BV10653045 / BV11690285
科丰路(科林路口) ↔ 科丰路（科林路口）  [科丰路（科林路口）],BV09267391 / CL100014
广汕路(科景路口)总 ↔ 广汕路总站(科景路口)  [广汕路（科景路口）总站],BV09070817 / BV09074106
开源大道 ↔ 开源大道(云信路口)  [开源大道（云信路口）],BV09067478 / BV09065655
开泰大道(瑞和路口) ↔ 开泰大道站(瑞和路口)  [开泰大道（瑞和路口）],BV10846994 / BV10924416
萝岗香雪总 ↔ 萝岗香雪(梅花世界)总  [萝岗香雪（梅花世界）总站],BV10017511 / BV11632957
永和总#1 ↔ 永和(万科里享家)总  [永和（万科里享家）总站],BV10767509 / BV09385631
云埔一路总 ↔ 云埔一路(中一药业)总  [云埔一路（中一药业）总站],BV10017550 / BV10991201
开泰大道(新阳路口)#1 ↔ 开泰大道(新阳路口)#2  [开泰大道（新阳路口）],BV11466898 / BV11690288
南岗总 ↔ 南岗(总站)  [南岗总站],BV10017343 / BV09074314
凤凰五路(粤芯路口) ↔ 凤凰五路  [凤凰五路],BV09394736 / BV09112243
穗丰村总站(兴太三路) ↔ 穗丰村(兴太三路)总  [穗丰村（兴太三路）总站],BV09403797 / BV09403105
知识城南总 ↔ 知识城南(地铁何棠下站)总  [知识城南（地铁何棠下站）总站],BV11302780 / BV09320057
科学大道(揽月路路口) ↔ 科学大道  [科学大道（揽月路路口）],BV10653043 / BV10847049
开创大道(时代天境) ↔ 开创大道#2  [开创大道（时代天境）],BV09254012 / BV09256769
大沙东(黄埔海关) ↔ 大沙东  [大沙东（黄埔海关）],BV09227577 / BV11248514
吉山新路街 ↔ 吉山新路街(吉山村委)  [吉山新路街（吉山村委）],BV11086040 / BV11620081
开源大道(云信路口) ↔ 开源大道  [开源大道（云信路口）],BV09065655 / BV09067478
启学路(玉岩路路口) ↔ 启学路站(玉岩路路口)  [启学路（玉岩路路口）],BV10014029 / BV11102415
新庄二路(新安路口) ↔ 新庄二路站(新安路口)  [新庄二路（新安路口）],BV09003168 / BV11102413
长贤路#2 ↔ 长贤路#1  [长贤路（岭南林语南门）],BV11488679 / BV11674524
百顺北路总 ↔ 百顺北路(岭南新世界)总  [百顺北路（岭南新世界）总站],BV11655931 / BV09245159
百顺北路总 ↔ 百顺北路(岭南新世界)总  [百顺北路（岭南新世界）总站],BV11655931 / BV09245159
大沙东(黄埔海关) ↔ 大沙东  [大沙东（黄埔海关）],BV09227577 / BV11248514
南岗总 ↔ 南岗(总站)  [南岗总站],BV10017343 / BV09074314
知明路南 ↔ 知明路南(广州泰和肿瘤医院)  [知明路南],BV09299187 / BV09299182
渔沙坦总站(渔中路) ↔ 渔沙坦(渔中路)总  [渔沙坦（渔中路）总站],BV10014298 / BV09404923
光谱西路(神舟路路口) ↔ 光谱西路  [光谱西路（神舟路路口）],BV11467032 / BV11467019
科学城(揽月路)总 ↔ 科学城总站(揽月路)  [科学城（揽月路）总站 / 科学城（揽月路）总站②],BV09199365 / BV09266626
保税区(酒博城)总 ↔ 保税区总  [保税区（酒博城）总站],BV09385630 / BV10022078
