候选,BV站点ID
豪景花园 ↔ 濂泉路口  [豪景花园① / 濂泉路口],BV10326995 / BV09097374 / BV09318948 / BV09314787
金贵村 ↔ 云台花园  [金贵村② / 云台花园],BV11688390 / BV11371562 / BV09373903
京溪路 ↔ 一五七医院  [京溪路 / 一五七医院（地铁京溪南方医院站）],BV11506953 / BV11269468
云景花园 ↔ 京溪路  [云景花园 / 京溪路],BV11688407 / BV11506953
濂泉路口 ↔ 金贵村  [濂泉路口① / 金贵村],BV11688393 / BV11688390
兴华路口 ↔ 豪景花园  [兴华路口2 / 豪景花园],BV10017237 / BV09097374
伍仙桥 ↔ 兴华路口  [伍仙桥1 / 兴华路口],BV10014371 / BV10017237
鸡颈坑 ↔ 伍仙桥  [鸡颈坑 / 伍仙桥],BV10014372 / BV10014371
梅园新村 ↔ 鸡颈坑  [梅园新村（地铁梅花园站）② / 鸡颈坑],BV10017236 / BV10014372
梅花园 ↔ 梅园新村  [梅花园② / 梅园新村（地铁梅花园站）],BV09355216 / BV10017236
一五七医院 ↔ 梅花园  [一五七医院（地铁京溪南方医院站） / 梅花园],BV11269468 / BV09355216
京溪路口 ↔ 云景花园  [京溪路口 / 云景花园],BV10019227 / BV11688407
南方医科大学 ↔ 京溪路口  [南方医科大学 / 京溪路口],BV10013965 / BV10019227
白云农批市场 ↔ 南方医科大学  [白云农批市场 / 南方医科大学],BV10013964 / BV10013965
左边村 ↔ 大罗塘珠宝小镇  [左边村（珠宝名镇） / 大罗塘珠宝小镇],BV11457001 / BV10019837
长隆旅游度假区总 ↔ 香江野生动物世界总  [长隆旅游度假区总站 / 香江野生动物世界总站],BV10021917 / BV10022292
凤凰城东门商业街 ↔ 东门商业街  [凤凰城东门商业街 / 东门商业街],BV11255717 / BV11667730
广州海关车检场 ↔ 开创大道中(南方物流)  [广州海关车检场 / 开创大道中],BV10014605 / BV11483203
凤凰城四环岛 ↔ 四环岛  [凤凰城四环岛 / 四环岛],BV11412491 / BV11255716
凤凰城五环岛 ↔ 五环岛  [凤凰城五环岛 / 五环岛],BV11222412 / BV11625441
柯岭路站(原镇龙水厂站) ↔ 镇龙水厂  [柯岭路 / 镇龙水厂],BV09399273 / BV10022149
新新大道中 ↔ 永和医院  [新新大道中 / 永和医院],BV10017830 / BV09173363
石槎路中 ↔ 桥东  [石槎路中 / 桥东],BV11463002 / BV10017093
皮革城 ↔ 皮具文化园  [皮革城 / 皮具文化园],BV11306482 / BV11168433
府前路中 ↔ 府前路南  [府前路中 / 府前路南],BV11578748 / BV11400673
莹湖公园 ↔ 海滨路  [莹湖公园 / 海滨路],BV09305898 / BV10381624
南沙中心医院西门 ↔ 滨海半岛  [南沙中心医院西门站 / 滨海半岛],BV11583739 / BV10015900
庙南路中 ↔ 明珠湾小学  [庙南路中 / 明珠湾小学],BV09306699 / BV11621753
金兰寺村 ↔ 三江车  [金兰寺村 / 三江车站],BV10024265 / BV10024296
新世界大厦B ↔ 新世界大厦  [新世界大厦B / 新世界大厦],BV10408191 / BV10019845
星海青少宫 ↔ 星海青少年宫  [星海青少宫 / 星海青少年宫],BV10023244 / BV11557586
复甦B ↔ 复甦  [复甦B / 复甦],BV11018445 / BV10019994
新塘牛仔城(A) ↔ 牛仔城  [新塘牛仔城 / 牛仔城],BV11689290 / BV10464418
