候选,BV站点ID
东风东路(陵园西路口) ↔ 东风东路(广东工大)  [东风东路（陵园西路口）2],BV11278289 / BV11278166 / BV09230320
开泰大道(开源路口) ↔ 开泰大道(东荟城)#1  [开泰大道（东荟城）],BV09237474 / BV10924417 / BV11461491
科学大道 ↔ 科学大道(映日路口) ↔ 科学大道(揽月路路口)  [科学大道（广东质检院）],BV10847049 / BV11075868 / BV10653043
知新路(龙马路口) ↔ 知新路(含英一路口)  [知新路（龙马路口）],BV09386313 / BV09409146 / BV09409147
科学大道(揽月路路口) ↔ 科学大道(揽月路口) ↔ 科学大道  [科学大道（揽月路路口）],BV10653043 / BV09406833 / BV10847049
鹤龙四路(龙兴西路口) ↔ 鹤龙四路(龙兴西路口)1站(原行知学院站)  [鹤龙四路（龙兴西路口）② / 鹤龙四路（龙兴西路口）],BV09226081 / BV09244070 / BV09196447
飞粤大道中(九一村东) ↔ 飞粤大道中(九一村西)  [飞粤大道中],BV09120470 / BV11682467 / BV11371156
东山口(东华北路) ↔ 东山口(中山大学附属第一医院)  [东山口1 / 东山口①],BV11309872 / BV09369428
石井大道(红星村) ↔ 石井大道(白云湖公园)#1  [石井大道（红星村）],BV10020202 / BV10013689
开泰大道(开源路口) ↔ 开泰大道(东荟城)#1  [开泰大道（开源路口）],BV09237474 / BV10924417
开泰大道(新阳路口)#1 ↔ 开泰大道(科丰路口)  [开泰大道（新阳路口）],BV11466898 / BV09005644
知明路(建设新街路口) ↔ 知明路(何棠下)  [知明路（何棠下）],BV09328533 / BV09334659
黄村路(大观南路口) ↔ 黄村路(王园路口)  [黄村路（王园路口）],BV10018703 / BV11636888
知新路(汤村) ↔ 知新路(博华六路)  [知新路（博华六路）],BV09369696 / BV09368106
飞粤大道中(九一村东) ↔ 飞粤大道中(九一村西)  [飞粤大道中],BV09120470 / BV11371156
南大干线(金轩二路口) ↔ 南大干线(汽车小镇)#1  [南大干线（金轩二路口）],BV11686084 / BV11646397
南大干线(金轩一路口) ↔ 南大干线(金轩一路)  [南大干线（金轩一路）站 / 南大干线（金轩一路）],BV11686082 / BV09380918
