合并站名,BV站数,同名站组数,判断,坐标跨度m,不同基名,各同名组站名,BV站点ID
体育中心,7,8,需核对,313,,体育中心①|体育中心1(b8928646) || 体育中心②(afd15e76) || 体育中心①(e30c4b02) || BRT体育中心1|BRT体育中心①(2fc7dfc7) || BRT体育中心3(011b63bc) || BRT体育中心3|BRT体育中心2(962716b8) || 体育中心(bfe1aa5c) || 体育中心BRT总站3(a6939f83),BV11688545 / BV11688435 / BV09375065 / BV09226128 / BV09323474 / BV09337037 / BV11420870
新市墟,7,4,需核对,710,,新市墟③(44d4c26a) || 新市墟①(07e119d1) || 新市墟④(c809048a) || 新市墟②(4a213f48),BV11687839 / BV09226067 / BV09392281 / BV09161217 / BV09226083 / BV09404762 / BV09226085
海印桥南,5,2,需核对,593,,海印桥南①(931a411b) || 海印桥南②(d9295c01),BV09245639 / BV11688474 / BV09413050 / BV11064479 / BV11589123
西湾路,5,3,需核对,930,,西湾路②(2c8bf8ea) || 西湾路①(02083dea) || 西湾路（唐宁花园）①(0500a716),BV09356487 / BV09000495 / BV09269673 / BV09000494 / BV09313510
国防大厦,4,3,需核对,656,,国防大厦③(4e85aafa) || 国防大厦②(b91b7120) || 国防大厦①(dfbf0588),BV11688471 / BV09178253 / BV09317153 / BV09410279
程界村,4,4,需核对,456,,程界村(82c9a8da) || 程界村①(b642e1f7) || 程界村②(0fbb2a5b) || 程界村③(1b012952),BV11688554 / BV09094596 / BV11462295 / BV09413159
黄花岗,4,2,需核对,415,,黄花岗②(04b77342) || 黄花岗①(b274e80c),BV10014265 / BV09348431 / BV09308850 / BV09155477
云台花园,4,4,需核对,417,,云台花园②(b37b4a10) || 云台花园③(4edfdf60) || 云台花园①(3cc21930) || 云台花园(71b7eb53),BV11371562 / BV09364271 / BV09364566 / BV09373903
林和西路,3,3,需核对,338,,林和西路①(f64651ea) || 林和西路③(958415ed) || 林和西路|林和西路②(24e32e52),BV09383025 / BV11509447 / BV11688381
客村立交,3,4,需核对,479,,客村立交3|客村立交(7ee21bd2) || 客村立交1(c088fa14) || 客村立交②|客村立交2(272b38e6) || 客村立交①|客村立交1(bfbe56c7),BV11688553 / BV09377599 / BV09377600
地铁汉溪长隆,3,3,需核对,145,地铁汉溪长隆B / 地铁汉溪长隆C / 地铁汉溪长隆D,地铁汉溪长隆B站(79b8ccff) || 地铁汉溪长隆C站(fd1e9fde) || 地铁汉溪长隆D站(d1f854bf),BV11038930 / BV11062941 / BV10014952
东山口(东华北路),3,6,需核对,398,,东山口（东华北路）(d8842c6b) || 东山口(354d5148) || 东山口2(d124c823) || 东山口1(43a040b3) || 东山口（东华北路）①(56f1912d) || 东山口（东华北路）②(17e415ad),BV11448834 / BV11309872 / BV09322857
中山纪念堂(市总工会),3,4,需核对,431,,中山纪念堂（市总工会）④(9d1e0db1) || 中山纪念堂（市总工会）②(c31906e6) || 中山纪念堂（市总工会）③(5c9aa791) || 中山纪念堂（市总工会）①(26fae520),BV09228990 / BV09404373 / BV09336519
