physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
5e5ffa6f5c674fa0b8d40a2d1a2af403,江高(广技师白云校区)#1 / 江高 / 江高总#1 / 江高总#2 / 江高(广技师白云校区)总,BV11371426 / BV09242094 / BV10623355 / BV11436893 / BV09368252,江高,5,总站与非总站混合，不自动合并
1d8f13b0b80e4346ba54013af3efcfe2,陈家祠 / 陈家祠总站(中山七路),BV11596161 / BV09177116 / BV10017981 / BV09195327,陈家祠 / 陈家祠（停西行） / 陈家祠①,4,总站与非总站混合，不自动合并
44c0ceea224a417898d72210890718dd,江海大道中 / 江海大道中总,BV09316963 / BV11365453 / BV11687940 / BV09319409,江海大道中2,4,总站与非总站混合，不自动合并
8e895659a14d409f8e8e9456bcab1269,桥中 / 桥中总,BV11163379 / BV11225789 / BV09003001 / BV09376898,桥中1 / 桥中总站 / 桥中①,4,总站与非总站混合，不自动合并
2fe85d6de48a488abcc89e6180161c6d,中山八路 / 中山八路总 / 中山八路2,BV09167549 / BV11688465 / BV10014194 / BV09385634,中山八路②,4,总站与非总站混合，不自动合并
72fd92e75cbb4e828fde594ff06248c1,太和(谢家庄) / 太和总站(丰泰横路) / 太和(丰泰横路)总 / 太和#2,BV09027377 / BV11296119 / BV11330431 / BV11628196,太和（谢家庄）,4,总站与非总站混合，不自动合并
976769d5f50b438cafe661a5d07f36bf,科学城路口 / 科学城路口总,BV09081247 / BV11467027 / BV11010138 / BV09343742,科学城路口① / 科学城路口总站,4,总站与非总站混合，不自动合并
eb4f209c0e3d4173a41b09e08e6a1c3e,石井总站(红星村) / 石井总#2 / 石井(红星小学)总 / 石井(广东兵工厂旧址)#3,BV11628198 / BV09377935 / BV11316584 / BV09368723,石井（红星小学）总站,4,总站与非总站混合，不自动合并
50845ad6abcd4e7dbe9c85eb43dfb9e5,体育中心 / 体育中心总,BV11688435 / BV09226128 / BV10018645 / BV11688545,体育中心,4,总站与非总站混合，不自动合并
eaf4877b975a413f8e90567784146cac,中山八路 / 中山八路总,BV09213747 / BV11688465 / BV10014194,中山八路①,3,总站与非总站混合，不自动合并
a7faf043bcba455696b29ac25d27455e,黄石路 / 黄石路总,BV09351558 / BV11688426 / BV10018538,黄石路①,3,总站与非总站混合，不自动合并
79a6040daf1d4c46887e189985a1233e,江海大道中 / 江海大道中总,BV09319409 / BV11687940 / BV11365453,江海大道中1 / 江海大道中,3,总站与非总站混合，不自动合并
e23b70f486774d14a5323a55d146657f,云台花园 / 云台花园总,BV11371562 / BV09364271 / BV10014637,云台花园②,3,总站与非总站混合，不自动合并
c6196f0ddd6243acb05beadefefac20d,西塱 / 芳村西塱总,BV11687844 / BV09178250 / BV10016194,西塱① / 芳村西塱总站,3,总站与非总站混合，不自动合并
67a7da93acaa4631905b8dee6bcc2881,赤岗(江海大道)#1 / 赤岗总,BV11688338 / BV10013684 / BV10021665,赤岗,3,总站与非总站混合，不自动合并
21cd24c157994893904c7b974fc4dd83,嘉禾 / 嘉禾总,BV10014476 / BV09226080 / BV10017737,嘉禾2,3,总站与非总站混合，不自动合并
01c4c1309f044cd592b1b4fe6407adb5,广汕路(科景路口) / 广汕路(科景路口)总 / 广汕路总站(科景路口),BV09066404 / BV09070817 / BV09074106,广汕路（科景路口）,3,总站与非总站混合，不自动合并
62acba88dd1e4cc6b9a05f4bef208bc3,开萝大道(地铁香雪站) / 开萝大道总,BV09241985 / BV11621939 / BV09320059,开萝大道（地铁香雪站）,3,总站与非总站混合，不自动合并
fd9a4b5b21b44aea8791b43c2ce949df,南湾总 / 南湾,BV11472711 / BV11386229 / BV10014603,南湾总站 / BRT南湾1 / 南湾,3,总站与非总站混合，不自动合并
