所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
105新地广场,105新地广场,105新地广场,BV10015054,,105新地广场,113.307225,23.023665,番13路、番145路、番186路、番187路、番25路、番53路、番91路、番96路、番夜2路
15队中桥站,15队中桥,15队中桥站,BV11382166,,,113.416829,22.832598,南沙40路短线
1978电影小镇创意园,1978电影小镇创意园,1978电影小镇创意园,BV11259173,,,113.840392,23.299603,增城74路
1978文化创意园,1978文化创意园,1978文化创意园,BV11489752,,1978文化创意园,113.841009,23.300244,增城17路
1号航站楼,1号航站楼,1号航站楼,BV11510236,,,113.298134,23.389739,空港1路、空港2路、空港2路公交短线
214站,214,214站,BV11418521,,214站,113.604960,23.119297,增城30路、增城34路、增城34路快线、增城35路、增城26A路
2号航站楼,2号航站楼,2号航站楼,BV11510235,,2号航站楼（东客运站31卡位）,113.301101,23.397577,空港1路、空港2路、空港2路公交短线
863中心,863中心,863中心站,BV11341529,,863中心,113.330263,23.299948,563路、735路、797路、夜76路
阿里巴巴菜鸟园,阿里巴巴菜鸟园,阿里巴巴菜鸟园站,BV09239834,,阿里巴巴菜鸟园,113.658193,23.191754,增城12路、增城36路
阿里巴巴大厦,阿里巴巴大厦,阿里巴巴大厦,BV11524290,,,113.341832,23.108179,广州塔1号线
矮岗村,矮岗村,矮岗村,BV10018965,,矮岗村,113.283999,23.361253,737路
矮岗村委,矮岗村委,矮岗村委,BV10389074,,矮岗村委,113.283320,23.358490,737路
矮岭,矮岭,矮岭,BV10018736,,矮岭,113.536451,23.628205,从18路、从901路、从902路
爱莲村,爱莲村,爱莲村,BV10023061,,爱莲村,113.460775,23.005934,番128路、番62路
爱民路口,爱民路口,爱民路口,BV11419559,,爱民路口,113.156245,23.415651,花2路
爱群村委,爱群村委,爱群村委,BV11596286,,爱群村委,113.352065,23.648215,从408路
爱群大厦,爱群大厦,爱群大厦,BV10607944,,爱群大厦,113.251464,23.112351,128路、131A路、131B路、134路、186路、1路、208路、4路、57路、58路、64路、夜16路、夜1路、夜31路、广281路、广夜67路、旅游公交2线
