所属站,平台A,平台B,距离m,ID-A,ID-B
碧山村,碧山村1,碧山村站1,0,BV09072664,BV11621196
彩虹桥,彩虹桥,彩虹桥2,0,BV09001152,BV09162064
彩虹桥,彩虹桥,彩虹桥1,30,BV09001152,BV09230293
岗顶,BRT岗顶S2,BRT岗顶S2,15,BV09374464,BV09373959
黄石路,黄石路2,黄石路1,29,BV09408943,BV09351558
黄石路,黄石路,黄石路1,0,BV11688426,BV09351558
棠安路总站①,棠安路总站①,棠安路总站②,78,CL100018,CL100019
体育中心,体育中心1,体育中心1,7,BV09226128,BV09375065
体育中心,体育中心,体育中心1,35,BV11688435,BV09375065
体育中心,体育中心,体育中心1,4,BV11688545,BV09375065
西湾路,西湾路1,西湾路3,65,BV09269673,BV09313510
新市墟,新市墟2,新市墟站2,93,BV09226067,BV09392281
新市墟,新市墟4,新市墟5,37,BV09404762,BV09226085
新市墟,新市墟,新市墟5,37,BV11687839,BV09226085
云台花园,云台花园3,云台花园站2,59,BV09364566,BV09376437
云台花园,云台花园1,云台花园2,85,BV09373903,BV09364271
云台花园,云台花园,云台花园2,46,BV11371562,BV09364271
中山八路,中山八路,中山八路2,0,BV11688465,BV09167549
中山八路,中山八路,中山八路1,16,BV11688465,BV09213747
