所属站,平台A,平台B,距离m,ID-A,ID-B
西湾路,西湾路1,西湾路2,183m,BV09269673,BV09356487
花城大道(华穗路口),花城大道(华穗路口),花城大道,253m,BV10021402,BV11462417
花城大道(华穗路口),花城大道,花城大道(华穗路口),253m,BV11462417,BV10021402
康王北路(东风路口),康王北路(东风路口),康王北路,251m,BV09234561,BV09374435
西湾路,西湾路,西湾路2,801m,BV09000495,BV09356487
云台花园,云台花园1,云台花园站2分站,320m,BV09373903,BV09376384
赤岗北路(艺洲路口),赤岗北路,赤岗北路(艺洲路口),296m,BV10021308,BV11672884
赤岗北路(艺洲路口),赤岗北路(艺洲路口),赤岗北路,296m,BV11672884,BV10021308
江南新村(骨伤科医院),江南新村(骨伤科医院),江南新村,236m,BV10018367,BV09387478
江南新村(骨伤科医院),江南新村,江南新村(骨伤科医院),236m,BV09387478,BV10018367
程界村,程界村站(西行),程界村站(东行),398m,BV09094596,BV11462295
地铁沙溪站,地铁沙溪站(东行),地铁沙溪站(西行),328m,BV09359573,BV09359574
布岭路(新业路口),布岭路,布岭路(新业路口),283m,BV11314255,BV11314256
斯迳路(腰坑水库),斯迳路(腰坑水库),斯迳路,240m,BV10382330,BV10382329
斯迳路(腰坑水库),斯迳路,斯迳路(腰坑水库),240m,BV10382329,BV10382330
黄石路,黄石路总站,黄石路1,572m,BV10018538,BV09351558
布岭路(新业路口),布岭路(新业路口),布岭路,283m,BV11314256,BV11314255
金沙洲路,金沙洲路,金沙洲路1,156m,BV11688450,BV09369963
远景路,远景路1,远景路,200m,BV09168358,BV11688397
海印桥南,海印桥南(停南行),海印桥南(停北行),474m,BV11064479,BV11589123
东湖路,东湖路(停北行),东湖路(南行),200m,BV09074507,BV11090018
东平北路(横岗村口),东平北路,东平北路(横岗村口),278m,BV10014200,BV10014199
东平北路(横岗村口),东平北路(横岗村口),东平北路,278m,BV10014199,BV10014200
龙湖煤气站,龙湖煤气站,龙湖煤气站(停西行),185m,BV10019325,BV09346796
云台花园,云台花园总站,云台花园2,186m,BV10014637,BV09364271
体育中心,体育中心(西行),体育中心(东行),282m,BV09337037,BV11420870
乌冲,乌冲,乌冲站S1子站(BRT),197m,BV11386241,BV09399272
白兔村路口,白兔村路口1,白兔村路口2,573m,BV11028709,BV11028710
白兔村路口,白兔村路口2,白兔村路口1,573m,BV11028710,BV11028709
南星汤屋社,南星汤屋社2,南星汤屋社1,368m,BV11359304,BV11359303
福上下社,福上下社1,福上下社2,416m,BV11352299,BV11352300
福上下社,福上下社2,福上下社1,416m,BV11352300,BV11352299
南星汤屋社,南星汤屋社1,南星汤屋社2,368m,BV11359303,BV11359304
指南桥站,指南桥站(南行),指南桥站(北行),169m,BV11418606,BV11418605
大同村,大同村站(北行),大同村站(南行),275m,BV11579115,BV11579116
高铁庆盛站,高铁庆盛站,高铁庆盛站1,180m,BV09394481,BV09410623
梓元岗,梓元岗(停北行),梓元岗(停南行),247m,BV09391743,BV09391742
联安村(村委),联安村,联安村(村委),167m,BV11138642,BV11156921
沙涌,沙涌,沙涌2,152m,BV10713660,BV09167550
花东镇政府(小太阳幼儿园),花东镇政府,花东镇政府(小太阳幼儿园),168m,BV11568709,BV11680453
新丰路口站(永顺大道),新丰路口站(永顺大道),新丰路口2,163m,BV09287310,BV09209215
石壁路口(汉溪大道中),石壁路口,石壁路口(汉溪大道中),266m,BV09000362,BV11611788
禺山高级中学(西门),禺山高级中学(西门),禺山高级中学站,225m,BV10868270,BV11692471
禺山高级中学(西门),禺山高级中学站,禺山高级中学(西门),225m,BV11692471,BV10868270
中华大道(德贤路口),中华大道,中华大道(德贤路口),241m,BV11372023,BV11377471
中华大道(德贤路口),中华大道(德贤路口),中华大道,241m,BV11377471,BV11372023
地铁汉溪长隆G站,地铁汉溪长隆A站,地铁汉溪长隆B站,174m,BV11037524,BV11038930
金龙财富广场,金龙财富广场(西行),金龙财富广场(东行),205m,BV09075520,BV09075519
广州北站(秀全大道),广州北站(秀全大道),广州北站,214m,BV11539721,BV10939053
广州北站(秀全大道),广州北站,广州北站(秀全大道),214m,BV10939053,BV11539721
民安村,民安村,民安村站2,545m,BV10022356,BV11442875
民安村,民安村站2,民安村,545m,BV11442875,BV10022356
新华工业区,新华工业区1,新华工业区2,333m,BV11547976,BV11554334
