合并站名,站组ID,原始分站名,站点ID,经度,纬度
105新地广场,105新地广场,105新地广场,BV10015054,113.307225,23.023665
15队中桥站,15队中桥,15队中桥站,BV11382166,113.416829,22.832598
1978文化创意园,1978文化创意园,1978文化创意园,BV11489752,113.841009,23.300244
1978电影小镇创意园,1978电影小镇创意园,1978电影小镇创意园,BV11259173,113.840392,23.299603
1号航站楼,1号航站楼,1号航站楼,BV11510236,113.298134,23.389739
214站,214,214站,BV11418521,113.60496,23.119297
2号航站楼,2号航站楼,2号航站楼,BV11510235,113.301101,23.397577
863中心,863中心,863中心,BV11341529,113.330263,23.299948
一一五中学,一一五中学,一一五中学,BV10019244,113.352584,23.281901
一五七医院,一五七医院,一五七医院,BV11269468,113.320359,23.187642
一号航站楼(26-29号门),一号航站楼(26-29号门),一号航站楼,BV11544668,113.298134,23.389739
一号航站楼(26-29号门),一号航站楼(26-29号门),一号航站楼(26-29号门),BV11544669,113.298156,23.389909
一德东,一德东,一德东,BV10015710,113.256344,23.116474
一德中,一德中,一德中,BV10018682,113.254882,23.116044
一德西,一德西,一德西,BV10018681,113.249691,23.114865
一德西总站,一德西总,一德西总站,BV10021675,113.248895,23.114796
一涌站,一涌,一涌站,BV10014998,113.512606,22.730347
一环路,一环路,一环路,BV10715164,113.830576,23.268079
丁坑村委,丁坑村委,丁坑村委,BV11352972,113.424938,23.55658
七十七站,七十七,七十七站,BV10019823,113.446109,22.903763
七境村,七境村,七境村,BV11119670,113.825166,23.534481
七彩澳游,七彩澳游,七彩澳游,BV11374255,113.690241,23.323667
七星七队,七星七队,七星七队,BV10446694,113.375102,23.465636
七星体育公园,七星体育公园,七星体育公园,BV11115221,113.598398,23.539628
七星六队,七星六队,七星六队,BV10631943,113.368793,23.474279
七星北路路口,七星北路路口,七星北路路口,BV10631944,113.352843,23.481752
七星小学,七星小学,七星小学,BV10446699,113.351936,23.477769
七星岗,七星岗#1,七星岗,BV10021829,113.271786,23.249909
七星岗,七星岗#2,七星岗,BV11352951,113.495186,23.476302
七星岗公园,七星岗公园,七星岗公园站,BV10019962,113.391797,22.997903
七星岗工业路,七星岗工业路,七星岗工业路,BV11682596,113.274276,23.255658
七星岗工业路南,七星岗工业路南,七星岗工业路南,BV11682595,113.274127,23.251367
七星岗总站,七星岗总,七星岗总站,BV10019657,113.265933,23.241214
七星岗路,七星岗路,七星岗路,BV10021827,113.276191,23.248313
七星岗路东,七星岗路东,七星岗路东,BV10783716,113.277328,23.247153
七星岗路口,七星岗路口,七星岗路口站,BV11098346,113.280314,23.24694
七星市场,七星市场,七星市场,BV11415297,113.595997,23.540992
七星庄,七星庄,七星庄,BV11655609,113.508359,23.361093
七星路口,七星路口#1,七星路口,BV11625937,113.330153,23.435608
七星路口,七星路口#2,七星路口,BV11625936,113.591698,23.543459
