站点ID,记录中出现过的站名,bus_stops站名
[],宝安汽车站(107国道) / 裕安路口公交站(107国道) / 西乡立交公交站(107国道) / 固戍村站(107国道) / 黄田公交站(107国道) / 宝安交警大队公交站 / 福永汽车站 / 沙井中心客运站公交站 / 松岗天虹商场,宝安汽车站(107国道)
BV09183567,广州大道南(叠景路口) / 广州大道南(叠景路口)1 / 广州大道南(叠景路口)站 / 广州大道南(叠景路口)2,广州大道南(叠景路口)1
BV09238939,广州大道南(叠景路口)3 / 广州大道南(叠景路口)站 / 广州大道南(叠景路口) / 广州大道南(叠景路口)2,广州大道南(叠景路口)3
BV09228303,鹤龙四路(龙兴西路口)站 / 鹤龙四路(龙兴西路口) / 鹤龙四路(龙兴西路口)2 / 鹤龙四路(龙兴西路口)1,鹤龙四路(龙兴西路口)1
BV09316963,江海大道中2 / 江海大道中 / 江海大道中站 / 江海大道中1 / 江海大道中总站,江海大道中2
BV09184938,广州大道南(叠景路口)2 / 广州大道南(叠景路口) / 广州大道南(叠景路口)站,广州大道南(叠景路口)2
BV09226067,新市墟 / 新市墟3 / 新市墟2 / 新市墟4 / 新市墟站 / 新市墟5,新市墟2
BV11690288,开泰大道(开达路口) / 开泰大道(开达路口)站 / 开泰大道(新阳路口),开泰大道(开达路口)
BV09302293,城西花园2 / 城西花园1 / 城西花园站 / 城西花园总站 / 城西花园,城西花园2
BV09169835,棠下(三元里大道)2 / 棠下(三元里大道) / 棠下(三元里大道)1,棠下(三元里大道)2
BV09232892,华侨医院(潭村)1 / 华侨医院(潭村) / 华侨医院(潭村)站,华侨医院(潭村)1
BV09226083,新市墟2 / 新市墟 / 新市墟站2 / 新市墟1 / 新市墟3,新市墟1
BV09077732,中山大学附属第一(南沙)医院 / 中山大学附属第一(南沙)医院站,中山大学附属第一(南沙)医院
BV09213747,中山八路 / 中山八路1 / 中山八路站 / 中山八路总站,中山八路1
BV09375065,体育中心 / 体育中心1 / 体育中心总站 / 体育中心站,体育中心1
BV09364271,云台花园 / 云台花园2 / 云台花园站 / 云台花园总站,云台花园2
BV09167549,中山八路2 / 中山八路 / 中山八路总站 / 中山八路站,中山八路2
BV09209214,东风西路1 / 东风西路 / 东风西路站2 / 东风西路站,东风西路1
BV09172266,江湾桥南站 / 江湾桥南2 / 江湾桥南 / 江湾桥南1,江湾桥南2
BV09271785,广州体院2 / 广州体院站 / 广州体院 / 广州体院1,广州体院2
BV09193343,中山大学1 / 中山大学站 / 中山大学 / 中山大学2,中山大学1
BV09238795,和平新村1 / 和平新村2 / 和平新村 / 和平新村站,和平新村1
BV11329134,金沙洲路 / 金沙洲路2 / 金沙洲路1 / 金沙洲路站,金沙洲路2
BV09235566,新丰路口站 / 新丰路口 / 新丰路口2 / 新丰路口1,新丰路口1
BV11692323,开创大道(香雪八路路口) / 开创大道(香雪八路路口)站,开创大道(香雪八路路口)站
BV11322695,外语外贸大学(公开学院) / 外语外贸大学(公开学院)站,外语外贸大学(公开学院)
BV09099112,华南师范大学附属南沙中学站 / 华南师范大学附属南沙中学,华南师范大学附属南沙中学
BV11688403,石井文化广场(石丰路) / 石井文化广场(石丰路)站,石井文化广场(石丰路)
BV11688425,黄石东路(云城西路口)站 / 黄石东路(云城西路口),黄石东路(云城西路口)站
BV09217029,同和站 / 同和3 / 同和 / 同和1 / 同和2,同和3
BV09230319,东风东路(陵园西路口)1 / 东风东路(陵园西路口),东风东路(陵园西路口)1
BV11278289,东风东路(陵园西路口) / 东风东路(陵园西路口)站,东风东路(陵园西路口)
BV09232762,地铁市二宫站 / 地铁市二宫站1 / 地铁市二宫站2,地铁市二宫站1
