家族,站A,站B,距离m,同方向共站,共线数,判定,ID-A,ID-B
香山湖,香山湖,香山湖总站,1187,是,2,应分开(同方向共站),BV11141640,BV09237673
富豪山庄,富豪山庄,富豪山庄总站,1182,是,1,应分开(同方向共站),BV10016731,BV10023371
车陂,车陂总站,车陂,1162,是,1,应分开(同方向共站),BV10017165,BV10014610
凤凰城,凤凰城,凤凰城总站,1148,是,1,应分开(同方向共站),BV09046615,BV11284683
七星岗,七星岗总站,七星岗,1138,是,1,应分开(同方向共站),BV10019657,BV10021829
广州大道中,广州大道中,广州大道中,1126,是,1,应分开(同方向共站),BV11687847,BV10014367
长贤路,长贤路站,长贤路,1122,是,1,应分开(同方向共站),BV11674524,BV11488679
黄边北路,黄边北路,黄边北路总站,1119,是,1,应分开(同方向共站),BV09276323,BV10387193
金山谷花园,金山谷花园,金山谷花园总站,1108,是,1,应分开(同方向共站),BV10019836,BV10838158
天慧路,天慧路总站,天慧路,1096,是,2,应分开(同方向共站),BV11464543,BV10019135
横枝岗,横枝岗,横枝岗总站,1083,是,1,应分开(同方向共站),BV09091397,BV10389127
三百洞村委,三百洞村委总站,三百洞村委,1082,是,1,应分开(同方向共站),BV11418722,BV11334506
岑村,岑村,岑村总站,1072,是,2,应分开(同方向共站),BV11689186,BV10018536
开泰大道(新阳路口),开泰大道(新阳路口),开泰大道(开达路口),1071,是,1,应分开(同方向共站),BV11466898,BV11690288
平洲玉器街,平洲玉器街,平洲玉器街总站,1059,是,1,应分开(同方向共站),BV10254406,BV11102605
沙田村,沙田村总站,沙田村,1016,是,1,应分开(同方向共站),BV10389056,BV11656584
土华,土华,土华总站,976,是,2,应分开(同方向共站),BV10018239,BV10021864
白水寨,白水寨总站,白水寨,919,是,1,应分开(同方向共站),BV10488794,BV10488791
车陂,车陂总站,车陂,896,是,1,应分开(同方向共站),BV10017165,BV11693174
白云山制药厂,白云山制药厂,白云山制药厂总站,867,是,2,应分开(同方向共站),BV10016352,BV10014380
西湾路,西湾路,西湾路总站,852,是,1,应分开(同方向共站),BV09000494,BV10723493
东晖路,东晖路,东晖路(夏园农民公寓),808,是,0,应分开(同方向共站),BV10703778,BV09292564
西湾路,西湾路2,西湾路,801,是,1,应分开(同方向共站),BV09356487,BV09000495
西湾路,西湾路,西湾路,801,是,2,应分开(同方向共站),BV09000494,BV09000495
水荫路,水荫路总站,水荫路,782,是,2,应分开(同方向共站),BV10021738,BV10016135
广州雅居乐,广州雅居乐,广州雅居乐总站,782,是,1,应分开(同方向共站),BV11689282,BV10015106
沥滘,沥滘,沥滘总站,774,是,10,应分开(同方向共站),BV11688783,BV10016721
永泰新村,永泰新村,永泰新村总站,759,是,1,应分开(同方向共站),BV11683318,BV10019225
汇彩路,汇彩路总站,汇彩路,759,是,3,应分开(同方向共站),BV10021328,BV11487907
大罗村,大罗村总站,大罗村,753,是,2,应分开(同方向共站),BV11476851,BV10018776
太石工业区,太石工业区站,太石工业区总站,745,是,2,应分开(同方向共站),BV09305166,BV10023383
江高,江高站,江高总站,742,是,3,应分开(同方向共站),BV09242094,BV11436893
广外,广外,广外总站,711,是,2,应分开(同方向共站),BV11088402,BV10795608
南洲北路,南洲北路,南洲北路总站,708,是,2,应分开(同方向共站),BV10014357,BV10019120
云埔一路,云埔一路总站,云埔一路,699,是,1,应分开(同方向共站),BV10017550,BV11379024
创盈路西,创盈路西总站,创盈路西,692,是,1,应分开(同方向共站),BV09236550,BV09236548
西湾路,西湾路1,西湾路总站,669,是,1,应分开(同方向共站),BV09269673,BV10723493
炭步,炭步总站,炭步,663,是,1,应分开(同方向共站),BV10442979,BV10703910
珠江泳场,珠江泳场,珠江泳场总站,615,是,2,应分开(同方向共站),BV09006391,BV10021858
