方向记录,序号,站名,原分站ID,原距(m),新分站,新分站ID,新距(m),改善(m),车来了分站
10路(恒福路总站--昌岗路总站),7,小北花圈2,BV09316767,192,小北花圈,BV10013929,83,108,小北花圈②
10路(恒福路总站--昌岗路总站),14,堑口,BV10885474,123,堑口2,BV09179585,11,112,堑口②
10路(昌岗路总站--恒福路总站),8,革新路口,BV09006413,146,革新路口1,BV09314790,91,55,革新路口②
124路(云苑新村总站--滘口客运站总站),4,梓元岗1,BV09368674,256,梓元岗2,BV09368222,155,102,梓元岗①
124路(云苑新村总站--滘口客运站总站),5,桂花岗,BV10016229,115,桂花岗站2,BV09394525,16,99,桂花岗②
124路(云苑新村总站--滘口客运站总站),6,越秀公园,BV11688125,70,越秀公园2,BV09226094,16,55,越秀公园②
124路(滘口客运站总站--云苑新村总站),3,中山八路1,BV09213747,225,中山八路总站,BV10014194,88,137,中山八路①
124路(滘口客运站总站--云苑新村总站),4,石路基,BV11688484,65,石路基2,BV09337403,4,61,石路基①
125路(丽江花园总站--花园酒店站),19,农讲所站,BV11688432,144,农讲所1,BV09201207,54,90,农讲所②
125路(花园酒店站--丽江花园总站),15,海印桥南1,BV09245639,382,海印桥南,BV11688474,232,150,海印桥南①
126路(天河客运站总站--凰岗总站),10,同和站,BV11688408,131,同和3,BV09217029,1,130,同和③
126路(天河客运站总站--凰岗总站),11,白云山制药厂,BV10016352,777,白云山制药厂总站,BV10014380,207,571,白云山制药厂
126路(天河客运站总站--凰岗总站),25,小坪,BV11688428,245,小坪1,BV09226064,88,157,小坪②
128路(珠岛花园总站--海印桥总站),5,中山八路1,BV09213747,225,中山八路总站,BV10014194,88,137,中山八路①
128路(珠岛花园总站--海印桥总站),6,石路基,BV11688484,65,石路基2,BV09337403,4,61,石路基②
130路(华景新城总站--大塘总站),6,五山路口,BV11062767,237,五山路口站2,BV09372736,134,103,五山路口
130路(大塘总站--华景新城总站),11,体育中心东门,BV11678026,78,体育中心东门2,BV09219091,2,76,体育中心东门②
131B路(赤岗总站--赤岗总站),34,客村立交,BV11688553,417,客村立交2,BV09377599,2,415,客村立交②
