置信度,分类,站名,记录平台ID,远侧方向数,散布(m),距平台(m),汇聚点经度,汇聚点纬度,邻近平台名,邻近平台ID,邻近距离(m),涉及线路
高,换台(低),金沙洲路,BV11688450,18,34,117,113.202042,23.160018,金沙洲路1,BV09369963,112,42路、佛276路/佛276、夜122路、广12路、广231路、广276路、广283路、广283路班车、广424路、广974路、广974路班车、广夜91路、广高峰快线30路
高,换台(低),林和西路,BV11688381,15,1,133,113.318424,23.145605,林和西路2,BV09383025,125,11路、214路、246路、302A路、302路、363路、41路、45路、884路、B19路、B20路、夜74路、广283路、旅游公交3线、高峰快线24路
高,换台(高),广州火车站总站,BV10014059,12,35,107,113.256198,23.149290,广州火车站(草暖公园)总站,BV09330045,4,210路、211路、257路、803路、807A路、807路、862路、93路、B2A路、B2路、夜79路、夜88路
高,换台(中),广州火车东站总站,BV10013973,10,77,163,113.319100,23.151015,广州火车东总站,BV09292568,72,11路、302路、45路、B20路、夜15路、夜17路、夜28路、夜74路、夜77路、高峰快线24路
高,换台(中),市桥汽车站,BV10014775,9,29,106,113.360706,22.948006,市桥汽车站东门站,BV11688053,87,南68路快线、南沙65路、南沙68路、南沙70路、番141路、番142路、番148路、番92路/番92路
高,补台,金岭南路站,BV10015855,7,0,206,113.554063,22.763641,金岭南路站,BV10015855,206,南1路B、南夜4路、南沙18路、南沙1路、南沙49路、南沙4路、番141路
高,换台(高),西塱站,BV11687844,7,21,134,113.227593,23.067311,西塱1,BV09178250,17,222路、69路、70路、91路、夜103路、广277路、广565路
高,补台,云埔工业区,BV11687962,7,36,272,113.520226,23.150702,云埔工业区,BV11687962,272,375路、397路、566路、569路、946路、B31路、夜49路
高,换台(中),白云路,BV11688476,6,6,131,113.276344,23.120338,白云路1,BV09376615,99,35路、541路、54路、夜39路
高,换台(低),南方大厦站,BV11688451,6,7,119,113.248780,23.111045,南方大厦站,BV11688451,119,209路、31路、38路、556路、夜26路、夜7路
高,换台(高),汇侨新城总站,BV10019063,6,51,270,113.253281,23.201491,汇侨路总站,BV11461975,10,244A路、278路、538路
高,补台,四角围,BV09404948,5,9,164,113.120635,23.372243,四角围,BV09404948,164,花15B路、花15路、花5路
高,换台(低),科学城路口,BV11467027,5,19,135,113.408716,23.159301,科学城路口,BV11467027,135,448路、496路、506路、B22路、夜81路
高,换台(中),石化路总站,BV10018276,5,43,96,113.464511,23.109199,石化路总站,BV10018276,96,210路、517路、B17路、夜46路
高,换台(高),革新路总站,BV10014587,5,43,117,113.249885,23.088580,革新路站,BV11317287,38,243路、963路、B21路、广123路
高,换台(低),新兴村委总站,BV11324534,5,45,130,113.474541,22.737580,新兴村委总站,BV11324534,130,40路/南40路、南10路、南55路、南沙12路
高,换台(中),华贵路口,BV10016189,5,52,99,113.236679,23.126663,华贵路口,BV10016189,99,124路、226路、530路、541路、夜39路
高,换台(高),萝岗香雪总站,BV10017511,5,52,166,113.518333,23.182017,萝岗香雪(梅花世界)总站,BV11632957,19,339路、569路、943路、948路、夜51路
高,换台(低),联和2,BV09226063,4,4,102,113.258036,23.212241,联和2,BV09226063,102,425路、523路、706路、743路
高,换台(中),元岗路,BV10016357,4,6,102,113.331635,23.179802,元岗路(南兴花园),BV11607313,92,126路、83路、884路、夜90路
高,换台(中),远景路,BV11688397,4,31,108,113.250561,23.175216,远景路1,BV09168358,94,268路、32路、58A路、58路
高,换台(中),华阳湖路口,BV10494263,4,60,162,113.557766,23.056029,华阳湖路口2,BV11671373,72,莞616路、莞619路
高,换台(低),广州火车东站总站,BV10013973,3,0,147,113.318412,23.148371,广州火车东站总站,BV10013973,147,175路、246路、884路
高,换台(中),江海大道中,BV11687940,3,0,109,113.327799,23.092803,江海大道中总站,BV11365453,76,189路、206路、37路
高,补台,锦绣新天地,BV11102414,3,0,235,113.616024,23.123628,新塘镇政府,BV10015416,215,增城22路、增城26A路、增城26路
高,补台,钟落潭(白云星汇城)总站,BV09298089,3,0,277,113.383966,23.376015,钟落潭(白云星汇城)总站,BV09298089,277,716路、725路、夜116路
高,换台(中),白云机场T2航站楼,BV09002128,3,0,131,113.298328,23.398375,白云机场T2西客运站,BV11315199,69,机场快线7B线、机场快线7号C线、空港快线3线
高,换台(高),山海连城,BV11061616,3,0,198,113.504256,23.019073,山海连城总站,BV09341766,32,番131路、番133路高峰短线、番77路
高,换台(低),东盛路总站,BV11622300,3,0,132,113.381263,22.931598,东盛路总站,BV11622300,132,番13路、番4B路、番8路
高,换台(低),博汇商业区总站,BV11658178,3,4,106,113.500667,23.065279,博汇商业区总站,BV11658178,106,440路、572路、B29路
高,换台(高),吉山新路街,BV11086040,3,5,545,113.428010,23.129249,吉山村委,BV11144657,40,364路、432路
高,换台(高),执信路,BV11688570,3,6,292,113.286368,23.133749,执信中学,BV09244913,58,189路、247路、287路
高,换台(低),开创大道口,BV10884933,3,6,107,113.540455,23.106305,开创大道口,BV10884933,107,374路、579路、940路
高,换台(低),仑头总站,BV10796283,3,11,501,113.368069,23.082156,仑头路口,BV10013857,107,264A路、264路
高,换台(低),市一医院,BV10019584,3,14,101,113.253060,23.133474,市一医院,BV10019584,101,56路、58路、旅游公交1线
高,补台,地铁嘉禾望岗站总站,BV10014401,3,16,348,113.279916,23.240128,广州市第八医院,BV10014465,310,嘉禾5线、嘉禾望岗地铁站便民车3线
高,补台,黄阁大道中站,BV09026668,3,40,274,113.512126,22.829378,黄阁大道中站,BV09026668,274,南沙49路、南沙54路、番141路
高,换台(低),千灯湖地铁站,BV10329387,3,49,117,113.149938,23.057766,千灯湖地铁站,BV10329387,117,佛211路、佛279路
高,换台(高),明珠管委会,BV10017884,3,61,96,113.531612,23.594768,明珠管委会总站,BV11491312,41,从3路、从402路、从化921路
高,换台(低),车陂南,BV10014565,3,78,132,113.384532,23.118153,车陂南,BV10014565,132,495路、503路、B24路
中,换台(低),广州火车东站总站,BV10013973,19,94,185,113.320210,23.149696,广州火车东总站,BV09292568,124,122路、137路、183路、195路、209路、233路、263路、280路、302A路、363路、41路、508路、551路、59路、810路、841路、B17路、B19路、广283路
中,补台,白云宾馆,BV11009137,2,0,198,113.282302,23.140045,白云宾馆2,BV09226118,170,10路、482路
中,补台,凰岗总站,BV10014033,2,0,761,113.213992,23.199496,市医药职业学校,BV10333425,416,521路、夜3路
中,换台(中),黄石东路(云城西路口)站,BV11688425,2,0,110,113.274181,23.206469,云城西路(白云区图书馆),BV10021165,90,660路环线、广424路
中,换台(低),中山八路总站,BV10014194,2,0,113,113.226194,23.128227,中山八路总站,BV10014194,113,夜37路、广夜58路
中,换台(低),江海大道中,BV11687940,2,0,286,113.327224,23.094406,江海大道中2,BV09316963,104,夜29路、夜37路
中,补台,犀牛角村总站,BV10382244,2,0,157,113.333968,23.195632,犀牛角村总站,BV10382244,157,754路
中,换台(中),汇景北路总站,BV10017906,2,0,104,113.361724,23.153625,汇景北路总站2,BV09395455,69,498路、夜23路
中,补台,员村总站,BV10389050,2,0,664,113.364760,23.117487,员村四横路站,BV11519170,374,243路、B11路
中,换台(低),站南路总站,BV09012353,2,0,137,113.249392,23.148254,站南路,BV10014073,113,29路、广260路
中,换台(低),家和天曜总站,BV11448213,2,0,125,113.427565,23.143779,家和天曜总站,BV11448213,125,508路、573路
