置信度,分类,站名,记录平台ID,远侧方向数,散布(m),距平台(m),汇聚点经度,汇聚点纬度,邻近平台名,邻近平台ID,邻近距离(m),涉及线路
高,剔除(异站),太和文化广场站,BV09005242,10,45,105,113.348759,23.297561,太营路口总站,BV10381381,9,246路、471路、973路、976路、985路、夜74路、夜86路、帽峰山旅游专线1线
高,剔除(异站),广东软件园站,BV11688328,9,16,108,113.432925,23.166117,临时站(科珠路),BV09356592,36,345路、371路、396路、506路、581路、945路、B22路、B4A路、夜81路
高,剔除(异站),建设大道中,BV10713679,8,47,252,113.197445,23.144180,藤业路,BV10255222,127,夜122路、广424路、广789路、广夜54路
高,剔除(异站),太石工业区站,BV09305166,7,18,108,113.397066,22.894294,简太路口站,BV09218822,51,南36路、南50路、番150路、番5路、番5路长线
高,剔除(异站),潭洲市场,BV09302206,6,78,267,113.383645,22.786434,大岗文化中心站,BV11343716,57,南47路、南沙65路、番142路
高,剔除(异站),滨江东路,BV10018259,5,3,97,113.283450,23.108945,珠江泳场总站,BV10021858,87,211路、229路、247路、夜12路、旅游公交2线
高,剔除(异站),一五七医院,BV11269468,5,28,108,113.319879,23.186775,京溪南方医院,BV11468837,78,241路、791路、旅游公交3线
高,剔除(异站),大沙东,BV11248514,5,36,312,113.448309,23.109113,丰乐路,BV10885199,146,943路、B26路、B29路、夜46路
高,剔除(异站),星海音乐厅,BV11312279,4,0,162,113.297803,23.112012,省中医二沙分院,BV11312274,66,131A路、194路、89路、B21路
高,剔除(异站),地铁植物园站,BV10855094,4,0,99,113.360909,23.194472,龙洞路口,BV10847065,83,30路、39路、775路、夜10路
高,剔除(异站),芳村葵蓬总站,BV10017985,4,0,367,113.210412,23.090220,葵蓬西滘市场,BV10800908,12,525路、780路
高,剔除(异站),大塘总站,BV10016431,4,6,168,113.323608,23.088360,聚德路,BV10017836,139,226路、夜45路
高,剔除(异站),东晖路,BV10703778,4,10,158,113.512545,23.074218,春园路,BV10703779,84,453A路、569路
高,剔除(异站),西街口,BV11492267,4,10,106,113.576736,23.555842,城西市场站,BV11474705,92,从21路长线、从夜3路
高,剔除(异站),广卫路总站,BV10013719,4,30,133,113.261746,23.130052,广仁路总站,BV10018482,96,193路、27路、833路
高,剔除(异站),凰岗总站,BV10014033,4,37,135,113.218317,23.206353,凤鸣路,BV10018305,125,126路、夜90路
高,剔除(异站),万胜围站,BV10420826,3,0,150,113.379632,23.100817,星悦路(车陂南隧道口),BV09116692,64,564路、762路、夜100路
高,剔除(异站),地铁飞翔公园站总站,BV10018317,3,0,132,113.260409,23.172949,云城南二路,BV10018318,49,662路、742路、982路
高,剔除(异站),永兴村口,BV11171943,3,1,105,113.321296,23.277186,龙河中路口,BV10022485,101,659路、76A路
高,剔除(异站),三元里,BV09002689,3,2,463,113.258056,23.159107,中医学院,BV09000456,56,空港快线2号线、空港快线2号线夜班、空港快线2线
高,剔除(异站),空港大道,BV11621666,3,6,120,113.282052,23.224315,黄边地铁站B口,BV11658740,118,667路、981路、夜76路
高,剔除(异站),花都广场,BV10016943,3,10,254,113.212483,23.403626,中医院,BV11134667,116,花109路、花18路
高,剔除(异站),石井潭村总站,BV10021214,3,24,185,113.230219,23.192734,石潭路(南新大街),BV11481835,2,238路、夜21路
高,剔除(异站),凤凰新村(宝业路口),BV10018366,3,79,132,113.254054,23.093502,工业大道口,BV10417947,55,489路、813路、夜3路
中,剔除(异站),南岗总站,BV10017343,3,115,690,113.533343,23.104053,三保工业区,BV10022016,67,334路、376路
中,剔除(异站),凰岗总站,BV10014033,2,0,390,113.220108,23.203326,石丰路口,BV09006131,114,521路、夜3路
中,剔除(异站),东晓南路,BV10013742,2,0,127,113.280922,23.089065,南泰路东,BV10022515,109,812路、967路
中,剔除(异站),芳村客运站,BV10014060,2,0,282,113.229332,23.085320,翠竹苑,BV10018356,133,沥17B路、沥17B路区间
中,剔除(异站),东圃总站,BV10019425,2,0,721,113.402121,23.117852,桃园西路北,BV11359529,145,402路/402路快车
中,剔除(异站),新鸿基市场站,BV10017144,2,0,1391,113.507590,22.834128,黄阁中学站,BV10017141,57,南沙61路短线
中,剔除(异站),行知学院,BV11171948,2,4,148,113.297989,23.278117,龙兴西路西,BV10018964,117,夜119路
中,剔除(异站),丹水坑风景区总站,BV10022013,2,8,435,113.525071,23.103600,市十二人民医院(黄埔院区),BV09386469,116,397路短线快线
中,剔除(异站),番禺创新科技园,BV11619186,2,12,439,113.450990,22.982745,官桥,BV10023066,44,番128路
中,剔除(异站),地铁会江站,BV10023162,2,14,126,113.281259,23.015316,会江地铁站,BV09412967,44,番182路
中,剔除(异站),嘉洲广场,BV11689448,2,16,215,113.184496,23.111446,黄岐中学,BV10394153,150,广969路
中,剔除(异站),融创公交总站,BV11406346,2,18,118,113.235587,23.435990,罗仙村安置区,BV11209791,79,花19路、花6路
中,剔除(异站),开源大道,BV09067478,2,27,186,113.527921,23.170133,玉岩路南,BV11688058,68,367路、397路
中,剔除(异站),太和总站,BV10019029,2,27,122,113.349960,23.292001,石湖村东,BV10021226,77,529路、837路
中,剔除(异站),南洲北路总站,BV10019120,2,29,110,113.289379,23.073333,地铁东晓南站,BV10022709,85,广276路
中,剔除(异站),新聚福,BV11688089,2,32,232,113.608593,23.124698,荔新路口,BV11662112,139,增城36路、增城39路
中,剔除(异站),地铁石碁南站(前锋村),BV09339921,2,48,135,113.438514,22.941489,前锋村,BV10019789,90,番28B路、番83路
中,剔除(异站),开泰大道(新阳路口),BV11466898,2,82,178,113.466887,23.165350,新乐路口,BV11619526,80,339路、944路
