线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
番60路,番60路(化龙驾驶人考场--地铁新造站),化龙教练场,BV11018446,287,化龙驾驶人考场,BV11162078,0,普通
南沙49路,南沙49路(三姓路--大岗公交总站),黄阁大道中站,BV09026668,278,黄阁医院站,BV10017575,0,普通
番141路,番141路(江南路站--市桥汽车站),黄阁大道中站,BV09026668,278,黄阁汽车城站,BV09077735,0,普通
南沙65路,南沙65路(市桥汽车站--潭洲车站),潭洲市场站,BV09302206,277,潭洲车站,BV10014942,0,普通
南沙65路,南沙65路(潭洲车站--市桥汽车站),潭洲市场站,BV09302206,277,潭洲车站,BV10014942,0,普通
番142路,番142路(潭洲车站--市桥汽车站),潭洲市场站,BV09302206,277,潭洲车站,BV10014942,0,普通
莞616路,莞616路(富民路--黄埔新港),华阳湖路口,BV10494263,201,华阳湖湿地公园,BV10266784,0,普通
花都113路,花都113路(皮革城站--田美上庄),美国工业园,BV10015587,182,美国工业区,BV11655182,0,普通
莞619路,莞619路(城际麻涌站--城际麻涌站),华阳湖路口,BV10494263,170,华阳湖湿地公园,BV10266784,0,普通
莞619路,莞619路(城际麻涌站--城际麻涌站),华阳湖路口,BV10494263,170,华阳湖湿地公园,BV10266784,0,普通
728路,728路(地铁龙归站总站--良田村委总站),北太路柏塘村口站,BV11166353,159,北太路西,BV11166350,0,普通
837路,837路(太和总站--江高小塘总站),鹤龙四路(龙兴西路口)2,BV09226081,142,龙兴西路,BV09180357,0,普通
南55路,南55路(高铁庆盛站--新兴村委总站),高铁庆盛站1,BV09410623,142,高铁庆盛总站,BV11627208,0,总站
222路,222路(芳村丰年路总站--地铁五羊邨站总站),西塱,BV11687844,136,西塱1,BV09178250,0,普通
69路,69路(汾水小区总站--大塘总站),西塱,BV11687844,136,西塱2,BV09177350,0,普通
70路,70路(水秀一路总站--沥滘总站),西塱,BV11687844,136,西塱2,BV09177350,0,普通
91路,91路(南方茶叶市场总站--珠光路总站),西塱,BV11687844,136,西塱2,BV09177350,0,普通
夜103路,夜103路(穗盐路总站--地铁江泰路站总站),西塱,BV11687844,136,西塱1,BV09178250,0,普通
广565路,广565路(穗盐路总站--瑞宝乡总站),西塱,BV11687844,136,西塱1,BV09178250,0,普通
