置信度,站名,记录平台ID,远侧方向数,散布(m),距平台(m),汇聚点经度,汇聚点纬度,邻近平台,邻近距离(m),涉及线路
高,金沙洲路,BV11688450,18,34,117,113.202042,23.160018,金沙洲路1,112,42路、佛276路/佛276、夜122路、广12路、广231路、广276路、广283路、广283路班车、广424路、广974路、广974路班车、广夜91路、广高峰快线30路
高,林和西路,BV11688381,15,1,133,113.318424,23.145605,林和西路2,125,11路、214路、246路、302A路、302路、363路、41路、45路、884路、B19路、B20路、夜74路、广283路、旅游公交3线、高峰快线24路
高,建设大道中,BV10713679,8,47,252,113.197445,23.144180,藤业路,127,夜122路、广424路、广789路、广夜54路
高,云埔工业区,BV11687962,7,36,272,113.520226,23.150702,云埔工业区,272,375路、397路、566路、569路、946路、B31路、夜49路
高,金岭南路站,BV10015855,7,0,206,113.554063,22.763641,金岭南路站,206,南1路B、南夜4路、南沙18路、南沙1路、南沙49路、南沙4路、番141路
高,南方大厦站,BV11688451,6,7,119,113.248780,23.111045,南方大厦站,119,209路、31路、38路、556路、夜26路、夜7路
高,科学城路口,BV11467027,5,19,135,113.408716,23.159301,科学城路口,135,448路、496路、506路、B22路、夜81路
高,大沙东,BV11248514,5,36,312,113.448309,23.109113,丰乐路,146,943路、B26路、B29路、夜46路
高,新兴村委总站,BV11324534,5,45,130,113.474541,22.737580,新兴村委总站,130,40路/南40路、南10路、南55路、南沙12路
高,四角围,BV09404948,5,9,164,113.120635,23.372243,四角围,164,花15B路、花15路、花5路
高,凰岗总站,BV10014033,4,37,135,113.218317,23.206353,凤鸣路,125,126路、夜90路
高,大塘总站,BV10016431,4,6,168,113.323608,23.088360,聚德路,139,226路、夜45路
高,联和2,BV09226063,4,4,102,113.258036,23.212241,联和2,102,425路、523路、706路、743路
高,广州火车东站总站,BV10013973,3,0,147,113.318412,23.148371,广州火车东站总站,147,175路、246路、884路
高,市一医院,BV10019584,3,14,101,113.253060,23.133474,市一医院,101,56路、58路、旅游公交1线
高,车陂南,BV10014565,3,78,132,113.384532,23.118153,车陂南,132,495路、503路、B24路
高,仑头总站,BV10796283,3,11,501,113.368069,23.082156,仑头路口,107,264A路、264路
高,开创大道口,BV10884933,3,6,107,113.540455,23.106305,开创大道口,107,374路、579路、940路
高,锦绣新天地,BV11102414,3,0,235,113.616024,23.123628,新塘镇政府,215,增城22路、增城26A路、增城26路
高,博汇商业区总站,BV11658178,3,4,106,113.500667,23.065279,博汇商业区总站,106,440路、572路、B29路
高,永兴村口,BV11171943,3,1,105,113.321296,23.277186,龙河中路口,101,659路、76A路
高,空港大道,BV11621666,3,6,120,113.282052,23.224315,黄边地铁站B口,118,667路、981路、夜76路
高,地铁嘉禾望岗站总站,BV10014401,3,16,348,113.279916,23.240128,广州市第八医院,310,嘉禾5线、嘉禾望岗地铁站便民车3线
高,钟落潭(白云星汇城)总站,BV09298089,3,0,277,113.383966,23.376015,钟落潭(白云星汇城)总站,277,716路、725路、夜116路
高,千灯湖地铁站,BV10329387,3,49,117,113.149938,23.057766,千灯湖地铁站,117,佛211路、佛279路
高,黄阁大道中站,BV09026668,3,40,274,113.512126,22.829378,黄阁大道中站,274,南沙49路、南沙54路、番141路
高,东盛路总站,BV11622300,3,0,132,113.381263,22.931598,东盛路总站,132,番13路、番4B路、番8路
高,花都广场,BV10016943,3,10,254,113.212483,23.403626,中医院,116,花109路、花18路
中,广州火车东站总站,BV10013973,19,94,185,113.320210,23.149696,广州火车东总站,124,122路、137路、183路、195路、209路、233路、263路、280路、302A路、363路、41路、508路、551路、59路、810路、841路、B17路、B19路、广283路
中,白云宾馆,BV11009137,2,0,198,113.282302,23.140045,白云宾馆2,170,10路、482路
中,凰岗总站,BV10014033,2,0,761,113.213992,23.199496,市医药职业学校,416,521路、夜3路
中,凰岗总站,BV10014033,2,0,390,113.220108,23.203326,石丰路口,114,521路、夜3路
中,东晓南路,BV10013742,2,0,127,113.280922,23.089065,南泰路东,109,812路、967路
中,中山八路总站,BV10014194,2,0,113,113.226194,23.128227,中山八路总站,113,夜37路、广夜58路
中,坑口地铁站总站,BV09073347,2,14,144,113.227519,23.080855,坑口地铁站,132,181路、769路/769路快线
中,海印桥南,BV11688474,2,18,133,113.279486,23.106302,海印桥南,133,264路
中,江海大道中,BV11687940,2,0,286,113.327224,23.094406,江海大道中2,104,夜29路、夜37路
中,犀牛角村总站,BV10382244,2,0,157,113.333968,23.195632,犀牛角村总站,157,754路
中,大塘西总站(敦和),BV11472988,2,6,108,113.313882,23.089641,大塘西总站(敦和),108,786路
中,芳村客运站,BV10014060,2,0,282,113.229332,23.085320,翠竹苑,133,沥17B路、沥17B路区间
中,员村总站,BV10389050,2,0,664,113.364760,23.117487,员村四横路站,374,243路、B11路
中,员村总站,BV10389050,2,36,777,113.366279,23.117660,琶洲大桥北总站,260,243路、B11路
中,站南路总站,BV09012353,2,0,137,113.249392,23.148254,站南路,113,29路、广260路
中,科城山庄总站,BV10846983,2,32,116,113.478586,23.189500,科城山庄总站,116,327A路、330路
中,家和天曜总站,BV11448213,2,0,125,113.427565,23.143779,家和天曜总站,125,508路、573路
中,黄埔新港站,BV09230886,2,0,123,113.519655,23.056999,黄埔新港站,123,莞618路、莞86路
中,新聚福,BV11688089,2,32,232,113.608593,23.124698,荔新路口,139,增城36路、增城39路
中,丹水坑风景区总站,BV10022013,2,8,435,113.525071,23.103600,市十二人民医院(黄埔院区),116,397路短线快线
中,东圃总站,BV10019425,2,0,721,113.402121,23.117852,桃园西路北,145,402路/402路快车
中,官海街口,BV10382343,2,8,229,113.281870,23.288356,官海街口,229,427路
中,护林路东总站,BV10018089,2,0,244,113.475736,23.111763,护林路东总站,244,432A路、B26路
中,平沙路口站,BV09000463,2,0,153,113.246893,23.249728,平沙路口站,153,703路、夜87路
中,集贤苑教师新村,BV11482216,2,5,106,113.295130,23.238147,集贤苑教师新村,106,656路、76路
中,永和医院站,BV09173363,2,30,703,113.592468,23.181482,永和中队站,688,增城12路
中,钟落潭高校园,BV11166864,2,15,117,113.433981,23.389622,钟落潭高校园,117,979路
中,行知学院,BV11171948,2,4,148,113.297989,23.278117,龙兴西路西,117,夜119路
中,民营科技园门口,BV10021372,2,3,118,113.329608,23.298411,民营科技园门口,118,735路、797路
中,南医大五附院站,BV11623857,2,0,190,113.567621,23.549630,从化中学,162,从903路
中,嘉洲广场,BV11689448,2,16,215,113.184496,23.111446,黄岐中学,150,广969路
中,中山大学附属第一(南沙)医院,BV09077732,2,0,204,113.500258,22.751000,中山大学附属第一(南沙)医院,204,南沙13路、南沙20路
中,汽车城地铁站,BV10016577,2,22,217,113.503429,22.839813,汽车城地铁站(鸡谷山路),110,南沙70路
中,含珠村站,BV10018454,2,14,137,113.448263,22.865976,含珠村站,137,南36路
中,坦尾村站,BV11161928,2,2,129,113.512004,22.789850,坦尾村站,129,南34路、南55路
中,北斗渡口站,BV09009791,2,0,881,113.336888,22.896645,金湾生活区,377,番6路、番7路
中,邮轮母港站,BV09099109,2,12,151,113.602498,22.775862,邮轮母港站,151,南沙24路
中,仙村路口站,BV11690284,2,31,141,113.710814,23.193224,仙村路口站,141,增城34路、增城39路
中,七境村,BV11119670,2,0,594,113.822525,23.529728,灵山墟,451,增城62路
中,灵山墟,BV11119627,2,0,373,113.820188,23.530479,灵山墟,373,增城62路
中,田美上庄,BV10970181,2,0,183,113.218644,23.403959,田美上庄,183,花103路、花都113路
中,赤坭,BV11375043,2,92,356,113.072642,23.391344,赤坭一幼,250,花115路
中,珠宝城,BV10019572,2,11,342,113.157706,23.399200,珠宝城,342,花9路
中,旗新村,BV10462375,2,8,178,113.211178,23.475193,旗新村,178,花25B路
中,美国工业园,BV10015587,2,18,160,113.164853,23.414875,美国工业园,160,花都113路
