线路A,线路B,重叠站数,较短线站数,重叠%,起讫,分类
564路,夜100路,40,40,100,天河客运站总站|黄埔古村南广场总站 ⇄ 天河客运站总站|黄埔古村南广场总站,正线-变体（不合并）
花68路,花68路短线,35,35,100,兴仁汽车站|新雅街道办站 ⇄ 新雅街道办|赤坭医院,正线-变体（不合并）
增城32路内环,增城32路外环,30,30,100,新塘汽车客运总站|新塘汽车客运总站 ⇄ 新塘汽车客运总站|新塘汽车客运总站,正线-变体（不合并）
佛里07路,里07路,24,24,100,三骏市场|里水汽车客运站 ⇄ 三骏市场|里水汽车客运站,疑似改名（可考虑合并）
978路,夜63路,22,22,100,嘉禾望岗总站|平沙总站 ⇄ 嘉禾望岗总站|平沙总站,正线-变体（不合并）
924路,夜62路,19,19,100,嘉禾望岗总站|永兴庄总站 ⇄ 嘉禾望岗总站|永兴庄总站,正线-变体（不合并）
南沙9路团结围线,南沙9路缸瓦沙线,18,18,100,万顷沙总站|团结围总站 ⇄ 万顷沙总站|团结围总站,跨区或同走廊（不合并）
番93路,番93路短线,18,18,100,地铁海傍站|莲花山车站 ⇄ 地铁海傍站|莲花山车站,正线-变体（不合并）
广657路,广夜91路,17,17,100,西华村总站|金沙洲码头总站 ⇄ 西华村总站|金沙洲码头总站,正线-变体（不合并）
979路,夜118路,14,14,100,良田村委总站|马洞森林公园总站 ⇄ 地铁钟落潭站|马洞森林公园总站,正线-变体（不合并）
南68路快线,南沙68路,14,14,100,市桥汽车站|榄核公交总站 ⇄ 市桥汽车站|榄核公交总站,正线-变体（不合并）
南68路快线,南沙68路,13,13,100,榄核公交总站|番禺市桥汽车站总站 ⇄ 榄核公交总站|番禺市桥汽车站总站,正线-变体（不合并）
479路,夜82路,12,12,100,景泰直街总站|景泰直街总站 ⇄ 景泰直街总站|景泰直街总站,正线-变体（不合并）
456路,456路环线,11,11,100,九龙镇政府总站|九龙镇政府总站 ⇄ 九龙镇政府总站|九龙镇政府总站,正线-变体（不合并）
公交地铁接驳专线4路,番191路,10,10,100,沙溪大道东总站|海龙湾总站 ⇄ 地铁厦滘站|沙溪大道东总站,正线-变体（不合并）
南61路,南沙61路短线,9,9,100,万科海上明月站|黄山鲁西门总站 ⇄ 万科海上明月|黄阁中学,正线-变体（不合并）
新龙镇02线上午,新龙镇02线下午,7,7,100,中泰规划一纵路总站|中泰规划一纵路总站 ⇄ 中泰规划一纵路总站|中泰规划一纵路总站,正线-变体（不合并）
430路,长洲岛1号线,6,6,100,深井码头总站|黄埔军校总站 ⇄ 黄埔军校总站|黄埔军校总站,跨区或同走廊（不合并）
12A路环线,广12路,5,5,100,万科四季花城总站|万科四季花城总站 ⇄ 万科四季花城总站|二沙岛西总站,正线-变体（不合并）
12A路环线,广276路,5,5,100,万科四季花城总站|万科四季花城总站 ⇄ 万科四季花城总站|南洲北路总站,正线-变体（不合并）
12A路环线,广283路,5,5,100,万科四季花城总站|万科四季花城总站 ⇄ 万科四季花城总站|广州火车东站总站,正线-变体（不合并）
12A路环线,广高峰快线30路,5,5,100,万科四季花城总站|万科四季花城总站 ⇄ 万科四季花城总站|体育中心,正线-变体（不合并）
番28B路,番28B路快线,5,5,100,前锋总站|大刀沙村尾 ⇄ 前锋总站|大刀沙村尾,正线-变体（不合并）
花15B路,花15路,4,4,100,塱头村|飞鹅岭地铁总站 ⇄ 赤坭西莲塘村委总站|飞鹅岭地铁总站,跨区或同走廊（不合并）
397路,397路短线快线,3,3,100,丹水坑风景区总站|萝岗香雪总站 ⇄ 丹水坑风景区总站|南岗站,正线-变体（不合并）
397路,397路短线快线,3,3,100,丹水坑风景区总站|萝岗香雪总站 ⇄ 丹水坑风景区总站|南岗,正线-变体（不合并）
番125路,番125路高峰直达短线,2,2,100,奥园城市天地总站|碧桂东苑 ⇄ 地铁汉溪长隆D站|碧桂东苑,正线-变体（不合并）
番125路,番125路高峰直达短线,2,2,100,奥园城市天地总站|碧桂东苑 ⇄ 地铁汉溪长隆A站|碧桂东苑,正线-变体（不合并）
番133路高峰短线,番77路,2,2,100,地铁新造站|山海连城 ⇄ 地铁新造站|山海连城,正线-变体（不合并）
番77路,番77路高峰快线,2,2,100,地铁新造站|山海连城 ⇄ 地铁新造站|汽车小镇总站,正线-变体（不合并）
从13路,从化13路,40,41,98,从化汽车站总站|白水寨总站 ⇄ 从化汽车站总站|白水寨总站,疑似改名（可考虑合并）
655B路,655路,61,63,97,三达路跨线桥首末站|鑫诺家具 ⇄ 三达路跨线桥首末站|大塘汽车客运站,跨区或同走廊（不合并）
704路,夜129路,36,37,97,两龙总站|石马总站 ⇄ 两龙总站|石马总站,正线-变体（不合并）
花68路白坭班车,花68路短线,34,35,97,兴仁汽车站|新雅街道办站 ⇄ 新雅街道办|赤坭医院,正线-变体（不合并）
花21路,花21路夜班,32,33,97,东莞村总站|广清城际乐同站 ⇄ 东莞村总站|和兴步行街,正线-变体（不合并）
521路,夜3路,29,30,97,凰岗总站|石溪总站 ⇄ 凰岗总站|石溪总站,正线-变体（不合并）
花63路,花63路短线,29,30,97,新雅街道办站|芙蓉度假村站 ⇄ 雅瑶公交总站|高新技术学校路口站,正线-变体（不合并）
