站名组,组内最大距离m,涉及原始站名,规范站名
五洲装饰城(地铁厦滘站) ↔ 五洲装饰城,110,五洲装饰城 / 五洲装饰城(东行) / 五洲装饰城(西行),五洲装饰城
广州大桥北(五羊邨) ↔ 广州大桥北站(五羊邨),135,广州大桥北(五羊邨) / 广州大桥北 / 广州大桥北站(五羊邨),广州大桥北(五羊邨)
江南新村(骨伤科医院)#1 ↔ 江南新村,258,江南新村(骨伤科医院) / 江南新村站(南行) / 江南新村,江南新村(骨伤科医院)
白沙总 ↔ 白沙(中海金沙湾)总 ↔ 白沙总站(中海金沙湾),316,白沙总站 / 白沙(中海金沙湾)总站 / 白沙总站(中海金沙湾),白沙总站(中海金沙湾)
石井(广东兵工厂旧址)#1 ↔ 石井#1,0,石井(广东兵工厂旧址)站 / 石井,石井(广东兵工厂旧址)站
东山口站(东华北路) ↔ 东山口(东华北路),287,东山口站(东华北路) / 东山口(东华北路),东山口(东华北路)
赤沙总 ↔ 赤沙(广东财经大学)总,5,赤沙总站 / 赤沙(广东财经大学)总站,赤沙(广东财经大学)总站
广州火车站总 ↔ 广州火车站(草暖公园)总,109,广州火车站总站 / 广州火车站(草暖公园)总站,广州火车站(草暖公园)总站
南洲路总站(小洲南路口) ↔ 南洲路(小洲南路口)总,20,南洲路总站(小洲南路口) / 南洲路(小洲南路口)总站,南洲路总站(小洲南路口)
华景新城(翰景路)总 ↔ 华景新城总站(翰景路),24,华景新城(翰景路)总站 / 华景新城总站(翰景路),华景新城总站(翰景路)
东山总站(署前路) ↔ 东山(署前路)总,21,东山总站(署前路) / 东山(署前路)总站,东山总站(署前路)
东山龟岗(中共三大会址)总 ↔ 东山龟岗总,3,东山龟岗(中共三大会址)总站 / 东山龟岗总站,东山龟岗(中共三大会址)总站
罗冲围总站(松南路) ↔ 罗冲围(松南)总,78,罗冲围总站(松南路) / 罗冲围(松南)总站,罗冲围总站(松南路)
黄石东(白云尚城)总 ↔ 黄石东总,25,黄石东(白云尚城)总站 / 黄石东总站,黄石东(白云尚城)总站
富力桃园(增埗村)总 ↔ 富力桃园总站(增埗村),86,富力桃园(增埗村)总站 / 富力桃园总站(增埗村),富力桃园总站(增埗村)
迎龙路(石门禅院) ↔ 迎龙路#2,25,迎龙路(石门禅院)站 / 迎龙路,迎龙路(石门禅院)站
科学城(揽月路)总 ↔ 科学城总站(揽月路),0,科学城(揽月路)总站 / 科学城总站(揽月路),科学城总站(揽月路)
开创大道#1 ↔ 开创大道(香雪山南),661,开创大道站 / 开创大道(香雪山南)站,开创大道(香雪山南)站
科丰路(科林路口) ↔ 科丰路（科林路口）,338,科丰路(科林路口)站 / 科丰路（科林路口）,科丰路（科林路口）
广汕路(科景路口)总 ↔ 广汕路总站(科景路口),0,广汕路(科景路口)总站 / 广汕路总站(科景路口),广汕路总站(科景路口)
开源大道 ↔ 开源大道(云信路口),523,开源大道 / 开源大道(云信路口),开源大道(云信路口)
开泰大道(瑞和路口) ↔ 开泰大道站(瑞和路口),60,开泰大道(瑞和路口) / 开泰大道站(瑞和路口),开泰大道(瑞和路口)
萝岗香雪总 ↔ 萝岗香雪(梅花世界)总,184,萝岗香雪总站 / 萝岗香雪(梅花世界)总站,萝岗香雪(梅花世界)总站
永和总#1 ↔ 永和(万科里享家)总,31,永和总站 / 永和(万科里享家)总站,永和(万科里享家)总站
云埔一路总 ↔ 云埔一路(中一药业)总,14,云埔一路总站 / 云埔一路(中一药业)总站,云埔一路(中一药业)总站
南岗总 ↔ 南岗(总站),752,南岗总站 / 南岗(总站),南岗(总站)
凤凰五路(粤芯路口) ↔ 凤凰五路,485,凤凰五路(粤芯路口) / 凤凰五路,凤凰五路(粤芯路口)
穗丰村总站(兴太三路) ↔ 穗丰村(兴太三路)总,0,穗丰村总站(兴太三路) / 穗丰村(兴太三路)总站,穗丰村总站(兴太三路)
知识城南总 ↔ 知识城南(地铁何棠下站)总,42,知识城南总站 / 知识城南(地铁何棠下站)总站,知识城南(地铁何棠下站)总站
开创大道(时代天境) ↔ 开创大道#2,2,开创大道(时代天境) / 开创大道,开创大道(时代天境)
大沙东(黄埔海关) ↔ 大沙东,743,大沙东(黄埔海关) / 大沙东,大沙东(黄埔海关)
吉山新路街 ↔ 吉山新路街(吉山村委),572,吉山新路街 / 吉山新路街(吉山村委),吉山新路街(吉山村委)
启学路(玉岩路路口) ↔ 启学路站(玉岩路路口),0,启学路(玉岩路路口) / 启学路站(玉岩路路口),启学路(玉岩路路口)
新庄二路(新安路口) ↔ 新庄二路站(新安路口),6,新庄二路(新安路口)站 / 新庄二路站(新安路口),新庄二路站(新安路口)
百顺北路总 ↔ 百顺北路(岭南新世界)总,151,百顺北路总站 / 百顺北路(岭南新世界)总站,百顺北路(岭南新世界)总站
知明路南 ↔ 知明路南(广州泰和肿瘤医院),542,知明路南 / 知明路南(广州泰和肿瘤医院),知明路南(广州泰和肿瘤医院)
渔沙坦总站(渔中路) ↔ 渔沙坦(渔中路)总,0,渔沙坦总站(渔中路) / 渔沙坦(渔中路)总站,渔沙坦总站(渔中路)
光谱西路(神舟路路口) ↔ 光谱西路,564,光谱西路(神舟路路口) / 光谱西路,光谱西路(神舟路路口)
保税区(酒博城)总 ↔ 保税区总,15,保税区(酒博城)总站 / 保税区总站,保税区(酒博城)总站
太和总#2 ↔ 太和(民营科技园)总,12,太和总站 / 太和(民营科技园)总站,太和(民营科技园)总站
华观路(火炉山森林公园) ↔ 华观路,459,华观路(火炉山森林公园) / 华观路,华观路(火炉山森林公园)
人和总 ↔ 人和(恒充充电站)总,1,人和总站 / 人和(恒充充电站)总站,人和(恒充充电站)总站
上水 ↔ 上水(广州老人院),371,上水 / 上水(广州老人院),上水(广州老人院)
钟落潭总 ↔ 钟落潭(白云星汇城)总,0,钟落潭总站 / 钟落潭(白云星汇城)总站,钟落潭(白云星汇城)总站
荔勤南路 ↔ 荔勤南路(崇文四路口),400,荔勤南路 / 荔勤南路(崇文四路口)(北行),荔勤南路
兴民路总 ↔ 兴民路(天汇广场)总,43,兴民路总站 / 兴民路(天汇广场)总站,兴民路(天汇广场)总站
地铁沙溪 ↔ 地铁沙溪站(E1出口),322,地铁沙溪站 / 地铁沙溪站(E1出口),地铁沙溪站(E1出口)
永顺大道(新业路口) ↔ 永顺大道,484,永顺大道(新业路口) / 永顺大道站,永顺大道(新业路口)
黄埔东路(石化南路)总 ↔ 黄埔东路总站(石化南路),0,黄埔东路(石化南路)总站 / 黄埔东路总站(石化南路),黄埔东路总站(石化南路)
佛岗村委 ↔ 佛岗村委(八号仓东),206,佛岗村委 / 佛岗村委(八号仓东)站,佛岗村委(八号仓东)站
芳村大道西总 ↔ 芳村大道西(滘口汽车站)总,67,芳村大道西总站 / 芳村大道西(滘口汽车站)总站,芳村大道西(滘口汽车站)总站
祈丰路(金洲地铁) ↔ 祈丰路,36,祈丰路(金洲地铁)站 / 祈丰路站,祈丰路(金洲地铁)站
医谷 ↔ 医谷(视联科创),0,医谷站 / 医谷(视联科创)站,医谷(视联科创)站
石基村站(市南路) ↔ 石基村(市南路),25,石基村站(市南路) / 石基村(市南路)站,石基村站(市南路)
南沙疾控中心(启慧学校) ↔ 南沙疾控中心,344,南沙疾控中心(启慧学校)站 / 南沙疾控中心站,南沙疾控中心(启慧学校)站
二湾路口(大岗供电所) ↔ 二湾路口,23,二湾路口(大岗供电所)站 / 二湾路口站,二湾路口(大岗供电所)站
石岗村(亚运大道) ↔ 石岗村#1,0,石岗村(亚运大道)站 / 石岗村,石岗村(亚运大道)站
和平村 ↔ 和平村(招呼站),709,和平村 / 和平村(招呼站),和平村(招呼站)
地铁海涌路站(海傍村) ↔ 地铁海涌路,334,地铁海涌路站(海傍村)站 / 地铁海涌路分站,地铁海涌路站(海傍村)站
广医二院南门(番禺院区) ↔ 广医二院(番禺院区)南门,266,广医二院南门(番禺院区) / 广医二院(番禺院区)南门,广医二院南门(番禺院区)
华景新城(南华路) ↔ 华景新城#2,322,华景新城(南华路) / 华景新城,华景新城(南华路)
北环路(圃结街路口) ↔ 北环路,549,北环路(圃结街路口) / 北环路,北环路(圃结街路口)
雅居乐总#2 ↔ 雅居乐(城南源著)总,26,雅居乐总站 / 雅居乐(城南源著)总站,雅居乐(城南源著)总站
德贤路(时代雅苑) ↔ 德贤路,331,德贤路(时代雅苑) / 德贤路,德贤路(时代雅苑)
碧桂园(会所) ↔ 碧桂园#3,433,碧桂园(会所) / 碧桂园,碧桂园(会所)
