线路,旧记录,新记录
980路,980路(三角国宇豪庭站--黄阁公交总站)(22站) / 980路(黄阁公交总站--三角国宇豪庭站)(22站),→,980路(汇侨新城总站--汇侨新城总站)(22站)
番108路,番108路(市桥汽车站--榄核公交总站)(38站) / 番108路(榄核公交总站--市桥汽车站)(39站),→,番108路(番禺体校总站--番禺体校总站)(52站)
B14路,B14路(棠德花苑总站--体育中心)(10站),→,B14路(天坤三路总站--天坤三路总站)(26站)
番88路,番88路(华工国际校区公交总站--奥园城市天地总站)(17站) / 番88路(奥园城市天地总站--华工国际校区公交总站)(16站),→,番88路(碧桂园(会所)--碧桂园(会所))(9站)
740路,740路(明泉街总站--明泉街总站)(11站),→,740路(明泉街总站--明泉街总站)(11站)
南沙K6路,南沙K6路(富民商务中心--蕉门地铁站/区政府)(2站) / 南沙K6路(蕉门公交总站--富民商务中心)(2站),→,南沙K6路(蕉门公交总站--富民商务中心)(2站) / 南沙K6路(富民商务中心--蕉门公交总站)(2站)
里07路高峰线,里07路高峰线(南海双语实验学校--地铁浔峰岗站)(9站) / 里07路高峰线(地铁浔峰岗站--南海双语实验学校)(12站),→,里07路高峰线(里水汽车客运站--三骏市场)(24站) / 里07路高峰线(三骏市场--里水汽车客运站)(27站)
79路,79路(健康港总站--洛溪新城总站)(23站) / 79路(洛溪新城总站--健康港总站)(21站),→,79路(健康港总站--健康港总站)(24站)
广974路,广974路(西华村总站--金沙洲码头总站)(18站) / 广974路(金沙洲码头总站--山口园路站)(16站),→,广974路(城西花园总站--东秀路总站)(16站) / 广974路(东秀路总站--城西花园)(15站)
增城69路,增城69路(河洞--邓山)(14站) / 增城69路(邓山--河洞)(17站),→,增城69路(河洞--邓山村)(14站) / 增城69路(邓山村--河洞)(14站)
582路班车,582路班车(琶洲保利总站--起云路总站)(19站) / 582路班车(起云路总站--琶洲保利总站)(19站),→,582路班车(海珠客运站总站--凌塘村总站)(24站) / 582路班车(凌塘村总站--海珠客运站总站)(21站)
从4路快线,从4路快线(地铁东风站--温泉宾馆)(17站) / 从4路快线(温泉宾馆站--地铁东风站)(17站),→,从4路快线(温泉明月山溪总站--从化汽车站总站)(41站) / 从4路快线(从化汽车站总站--温泉明月山溪总站)(43站)
333路,333路(大观路北(大观湿地公园)总站--科学城南部公交场总站)(18站) / 333路(科学城南部公交场总站--大观路北(大观湿地公园)总站)(19站),→,333路(永和贤江公交总站--大观路北总站)(28站) / 333路(大观路北总站--永和贤江公交总站)(25站)
659路,659路(大罗村总站--龙归城总站)(22站) / 659路(龙归城总站--大罗村总站)(23站),→,659路(草庄村总站--大罗村总站)(14站) / 659路(大罗村总站--草庄村总站)(14站)
358路,358路(湖山国际公交总站--黄埔低空经济创新中心总站)(20站) / 358路(黄埔低空经济创新中心总站--湖山国际公交总站)(19站),→,358路(湖山国际公交总站--黄埔低空经济创新中心总站)(20站) / 358路(黄埔低空经济创新中心总站--湖山国际公交总站)(19站)
花4路,花4路(东方村总站--广州北站西广场)(32站) / 花4路(广州北站西广场--东方村总站)(35站),→,花4路(东方村总站--东环城际花山镇站)(12站) / 花4路(东环城际花山镇站--东方村总站)(12站)
南沙32路,南沙32路(大岗公交总站--蕉门公交总站)(36站) / 南沙32路(蕉门公交总站--大岗公交总站)(36站),→,南沙32路(广大附中南沙实验学校站--蕉门公交总站)(14站) / 南沙32路(蕉门公交总站--广大附中南沙实验学校站)(13站)
964路,964路(地铁沥滘站总站--地铁沥滘站总站)(38站),→,964路(地铁沥滘站总站--逸景翠园总站)(22站) / 964路(逸景翠园总站--地铁沥滘站总站)(20站)
增城26A路,增城26A路(凤晴苑总站--大敦综合市场)(24站) / 增城26A路(大敦综合市场--凤晴苑总站)(22站),→,增城26A路(凤晴苑总站--214站)(11站) / 增城26A路(214站--凤晴苑总站)(10站)
旅游公交3线,旅游公交3线(中成路总站--琶洲石基村总站)(33站) / 旅游公交3线(琶洲石基村总站--中成路总站)(30站),→,旅游公交3线(琶洲石基村总站--琶洲石基村总站)(26站)
87路,87路(广钢新城(荔勤南路)总站--逸景翠园总站)(25站) / 87路(逸景翠园总站--广钢新城(荔勤南路)总站)(21站),→,87路(润江南路总站--广钢新城(荔勤南路)总站)(16站) / 87路(广钢新城(荔勤南路)总站--润江南路总站)(17站)
广205路,广205路(康王路总站(上下九)--白沙总站)(26站) / 广205路(白沙总站--康王路总站(上下九))(25站),→,广205路(康王路总站(上下九)--沙面新城总站)(22站) / 广205路(沙面新城总站--康王路总站(上下九))(24站)
番93路短线,番93路短线(莲花山车站--地铁海傍站)(18站),→,番93路短线(番禺中心医院总站--莲花山车站)(47站) / 番93路短线(莲花山车站--番禺中心医院总站)(45站)
393路,393路(连云路总站--黄埔低空经济创新中心总站)(20站) / 393路(黄埔低空经济创新中心总站--连云路总站)(21站),→,393路(黄埔低空经济创新中心总站--黄埔低空经济创新中心总站)(18站)
增城7路,增城7路(华立学院总站--增城广场地铁总站)(22站) / 增城7路(增城广场地铁总站--华立学院总站)(21站),→,增城7路(增城广场地铁总站--华立学院)(13站) / 增城7路(华立学院--增城广场地铁总站)(9站)
