线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
37路/南37路,2,东涌地铁站总站 ⇄ 东涌湖公交总站 / 东涌湖公交总站 ⇄ 东涌地铁站总站,07:00,20:00,创大公司,疑似线路调整,赤沙（广东财经大学）总站 ⇄ 东山口总站 / 东山口总站 ⇄ 赤沙（广东财经大学）总站
40路/南40路,2,大岗公交总站 ⇄ 新兴村委总站 / 新兴村委总站 ⇄ 大岗公交总站,06:00,18:00,广州南沙润信客运公司,疑似线路调整,东山（署前路）总站 ⇄ 广医附属中医院总站 / 广医附属中医院总站 ⇄ 东山（署前路）总站
从901路,2,从化汽车站总站 ⇄ 楼星村委 / 楼星村委 ⇄ 从化汽车站,07:30,16:00,广州从化客运公司,疑似线路调整,玲洲 ⇄ 楼星村委 / 楼星村委 ⇄ 玲洲
从902路,2,从化汽车站总站 ⇄ 横岭八队(横岭村委路口) / 横岭八队(横岭村委路口) ⇄ 从化汽车站总站,,,广州从化客运公司,疑似线路调整,民乐村委 ⇄ 横岭村八队（横岭村委路口） / 横岭村八队（横岭村委路口） ⇄ 民乐村委
从907路,2,沙迳村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 沙迳村委,,,公汽,疑似线路调整,鳌头公交总站 ⇄ 沙迳村委站 / 沙迳村委站 ⇄ 鳌头公交总站
从911路,2,下西村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 下西村委,,,,疑似线路调整,鳌头公交总站 ⇄ 下西村委 / 下西村委 ⇄ 鳌头公交总站
南沙K6路,2,蕉门公交总站 ⇄ 富民商务中心 / 富民商务中心 ⇄ 蕉门公交总站,05:30,20:30,广州巴士集团南沙巴士有限公司,疑似线路调整,蕉门公交总站 ⇄ 富民商务中心公交站（政务服务中心） / 富民商务中心公交站（政务服务中心） ⇄ 蕉门公交总站
增城16路,2,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,,,广州粤运客运公司,疑似线路调整,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站
增城53路,2,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村,07:30,16:10,广州二汽客运公司增城分公司,疑似线路调整,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村
番155路,1,沙北村总站 ⇄ 沙北村总站,,,,疑似线路调整,沙北村总站 ⇄ 沙北村总站
番63路,1,化龙车站 ⇄ 化龙车站,,,广州第二巴士客运公司(广州第二客运公司番禺分公司),疑似线路调整,化龙车站 ⇄ 化龙车站
番92路/番92路,2,长线)旅游专线(市桥汽车站 ⇄ 莲花山车站 / 长线)旅游专线(莲花山车站 ⇄ 市桥汽车站,,,广州锦信客运公司,疑似线路调整,市桥汽车站总站 ⇄ 地铁石碁站 / 地铁石碁站 ⇄ 市桥汽车站总站
