线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
101路,2,海印桥总站 ⇄ 机场路总站 / 机场路总站 ⇄ 海印桥总站,06:00,22:30,,可核对（方向记录已匹配）,海印桥总站 ⇄ 机场路总站 / 机场路总站 ⇄ 海印桥总站
102路,2,东山总站 ⇄ 广钢新城(崇文二路)总站 / 广钢新城(崇文二路)总站 ⇄ 东山总站,06:00,22:30,,可核对（方向记录已匹配）,东山总站 ⇄ 广钢新城（崇文二路）总站 / 广钢新城（崇文二路）总站 ⇄ 东山总站
104路,2,海印桥总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 海印桥总站,05:45,22:30,,可核对（方向记录已匹配）,海印桥总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 海印桥总站
105路,2,黄沙总站 ⇄ 棠安路总站② / 棠安路总站② ⇄ 黄沙总站,06:00,22:30,,可核对（方向记录已匹配）,黄沙总站② ⇄ 棠安路总站② / 棠安路总站② ⇄ 黄沙总站
106路,2,锦城花园(东风东)总站 ⇄ 茶滘路总站 / 茶滘路总站 ⇄ 锦城花园(东风东)总站,06:00,22:30,,可核对（方向记录已匹配）,锦城花园（东风东）总站 ⇄ 茶滘路总站 / 茶滘路总站 ⇄ 锦城花园（东风东）总站
107路,2,花城广场西总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 花城广场西总站,06:00,22:20,,可核对（方向记录已匹配）,花城广场西总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 花城广场西总站
108路,2,东山总站 ⇄ 南悦花苑总站 / 南悦花苑总站 ⇄ 东山总站,06:00,23:00,,可核对（方向记录已匹配）,东山总站 ⇄ 南悦花苑总站 / 南悦花苑总站 ⇄ 东山总站
109路,1,中山八路总站 ⇄ 中山八路总站,06:00,22:00,,可核对（方向记录已匹配）,中山八路总站 ⇄ 中山八路总站
10路,2,恒福路总站 ⇄ 昌岗路总站 / 昌岗路总站 ⇄ 恒福路总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,昌岗路总站 ⇄ 恒福路总站 / 恒福路总站 ⇄ 昌岗路总站
110路,2,天平架总站 ⇄ 文化公园总站 / 文化公园总站 ⇄ 天平架总站,06:00,22:30,,可核对（方向记录已匹配）,天平架总站 ⇄ 文化公园（粤海关博物馆）总站 / 文化公园（粤海关博物馆）总站 ⇄ 天平架总站
113路,2,南田路 ⇄ 棠安路总站① / 棠安路总站① ⇄ 南田路,06:00,22:30,,可核对（方向记录已匹配）,南田路总站 ⇄ 棠安路总站① / 棠安路总站① ⇄ 南田路总站
114路,2,南田路 ⇄ 罗冲围总站(松南路) / 罗冲围总站(松南路) ⇄ 南田路,06:00,22:30,,可核对（方向记录已匹配）,南田路总站 ⇄ 罗冲围（松南路）总站 / 罗冲围（松南路）总站 ⇄ 南田路总站
11路,2,大元帅府总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 大元帅府总站,,,第一巴士,可核对（方向记录已匹配）,大元帅府总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 大元帅府总站
