线路,类型,站点重叠,本地站数,车来了站数,本地起讫,车来了起讫
37路/南37路,起讫全变,0,9-10,15-17,东涌地铁站总站 ⇄ 东涌湖公交总站,赤沙（广东财经大学）总站 ⇄ 东山口总站
40路/南40路,起讫全变,0,32-33,32-34,大岗公交总站 ⇄ 新兴村委总站,东山（署前路）总站 ⇄ 广医附属中医院总站
980路,起讫全变,0,22-22,22-22,三角国宇豪庭站 ⇄ 黄阁公交总站,汇侨新城总站② ⇄ 汇侨新城总站②
从902路,起讫全变,8,37-39,4-4,从化汽车站总站 ⇄ 横岭八队(横岭村委路口),民乐村委 ⇄ 横岭村八队（横岭村委路口）
番108路,起讫全变,28,38-39,52-52,市桥汽车站 ⇄ 榄核公交总站,番禺体校总站 ⇄ 番禺体校总站
B14路,起讫全变,30,10-10,26-26,棠德花苑总站 ⇄ 体育中心,天坤三路总站 ⇄ 天坤三路总站
番88路,起讫全变,38,16-17,9-9,华工国际校区公交总站 ⇄ 奥园城市天地总站,华南碧桂园总站 ⇄ 华南碧桂园总站
740路,起讫全变,45,11-11,11-11,明泉街总站 ⇄ 明泉街总站,北站明泉街总站 ⇄ 北站明泉街总站
南沙K6路,起讫全变,50,2-2,2-2,富民商务中心 ⇄ 蕉门地铁站/区政府,蕉门公交总站 ⇄ 富民商务中心公交站（政务服务中心）
里07路高峰线,起讫全变,50,9-12,24-27,南海双语实验学校 ⇄ 地铁浔峰岗站,里水公交枢纽站 ⇄ 三骏市场
79路,起讫全变,52,21-23,24-24,健康港总站 ⇄ 洛溪新城总站,东沙（健康港）总站 ⇄ 东沙（健康港）总站
广974路,起讫全变,56,16-18,15-16,西华村总站 ⇄ 金沙洲码头总站,城西花园总站② ⇄ 东秀路总站
增城69路,起讫全变,57,14-17,14-14,河洞 ⇄ 邓山,河洞村 ⇄ 邓山村
582路班车,起讫全变,58,19-19,21-24,琶洲保利总站 ⇄ 起云路总站,海珠客运站总站 ⇄ 凌塘村总站
番92路/番92路,起讫全变,58,43-45,27-28,长线)旅游专线(市桥汽车站 ⇄ 莲花山车站,市桥汽车站总站 ⇄ 地铁石碁站
从4路快线,起讫全变,59,17-17,41-43,地铁东风站 ⇄ 温泉宾馆,从化汽车站总站 ⇄ 温泉明月山溪总站
从901路,一端相同,10,42-43,4-4,从化汽车站总站 ⇄ 楼星村委,玲洲 ⇄ 楼星村委
333路,一端相同,26,18-19,25-28,大观路北(大观湿地公园)总站 ⇄ 科学城南部公交场总站,永和贤江公交总站 ⇄ 大观路北（大观湿地公园）总站
659路,一端相同,27,22-23,14-14,大罗村总站 ⇄ 龙归城总站,草庄村总站 ⇄ 大罗村（省女子监狱）总站
358路,一端相同,29,24-24,19-20,湖山国际公交总站 ⇄ 黄埔低空经济创新中心总站,湖山国际总站 ⇄ 黄埔低空经济创新中心总站
花4路,一端相同,31,32-35,12-12,东方村总站 ⇄ 广州北站西广场,东方村总站 ⇄ 东环城际花山镇站
从911路,一端相同,33,9-13,5-5,下西村委 ⇄ 鳌头客运站,鳌头公交总站 ⇄ 下西村委
南沙32路,一端相同,33,36-36,13-14,大岗公交总站 ⇄ 蕉门公交总站,广大附中南沙实验学校 ⇄ 蕉门公交总站
964路,一端相同,39,38-38,20-22,地铁沥滘站总站 ⇄ 地铁沥滘站总站,地铁沥滘站总站 ⇄ 逸景翠园总站
增城26A路,一端相同,42,22-24,10-11,凤晴苑总站 ⇄ 大敦综合市场,凤晴苑总站 ⇄ 214站
旅游公交3线,一端相同,42,30-33,26-26,中成路总站 ⇄ 琶洲石基村总站,琶洲石基村（黄埔古港）总站 ⇄ 琶洲石基村（黄埔古港）总站
87路,一端相同,43,21-25,16-17,广钢新城(荔勤南路)总站 ⇄ 逸景翠园总站,润江南路总站 ⇄ 广钢新城（荔勤南路）总站
广205路,一端相同,44,25-26,22-24,康王路总站(上下九) ⇄ 白沙总站,康王路（上下九）总站 ⇄ 沙面新城总站
番93路短线,一端相同,44,18-18,45-47,莲花山车站 ⇄ 地铁海傍站,番禺中心医院总站 ⇄ 莲花山车站
393路,一端相同,45,20-21,18-18,连云路总站 ⇄ 黄埔低空经济创新中心总站,黄埔低空经济创新中心总站 ⇄ 黄埔低空经济创新中心总站
增城7路,一端相同,45,21-22,9-13,华立学院总站 ⇄ 增城广场地铁总站,增城广场地铁总站 ⇄ 华立学院总站
