线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
37路/南37路,2,东涌地铁站总站 ⇄ 东涌湖公交总站 / 东涌湖公交总站 ⇄ 东涌地铁站总站,07:00,20:00,创大公司,同名但站点差异大（疑似线路调整）,赤沙（广东财经大学）总站 ⇄ 东山口总站 / 东山口总站 ⇄ 赤沙（广东财经大学）总站,同名但站点差异大，疑似改线（待人工核对）
40路/南40路,2,大岗公交总站 ⇄ 新兴村委总站 / 新兴村委总站 ⇄ 大岗公交总站,06:00,18:00,广州南沙润信客运公司,同名但站点差异大（疑似线路调整）,东山（署前路）总站 ⇄ 广医附属中医院总站 / 广医附属中医院总站 ⇄ 东山（署前路）总站,同名但站点差异大，疑似改线（待人工核对）
从901路,2,从化汽车站总站 ⇄ 楼星村委 / 楼星村委 ⇄ 从化汽车站,07:30,16:00,广州从化客运公司,同名但站点差异大（疑似线路调整）,玲洲 ⇄ 楼星村委 / 楼星村委 ⇄ 玲洲,同名但站点差异大，疑似改线（待人工核对）
从902路,2,从化汽车站总站 ⇄ 横岭八队(横岭村委路口) / 横岭八队(横岭村委路口) ⇄ 从化汽车站总站,,,广州从化客运公司,同名但站点差异大（疑似线路调整）,民乐村委 ⇄ 横岭村八队（横岭村委路口） / 横岭村八队（横岭村委路口） ⇄ 民乐村委,同名但站点差异大，疑似改线（待人工核对）
从907路,2,沙迳村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 沙迳村委,,,公汽,同名但站点差异大（疑似线路调整）,鳌头公交总站 ⇄ 沙迳村委站 / 沙迳村委站 ⇄ 鳌头公交总站,同名但站点差异大，疑似改线（待人工核对）
从911路,2,下西村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 下西村委,,,,同名但站点差异大（疑似线路调整）,鳌头公交总站 ⇄ 下西村委 / 下西村委 ⇄ 鳌头公交总站,同名但站点差异大，疑似改线（待人工核对）
番155路,1,沙北村总站 ⇄ 沙北村总站,,,,同名但站点差异大（疑似线路调整）,沙北村总站 ⇄ 沙北村总站,同名但站点差异大，疑似改线（待人工核对）
番63路,1,化龙车站 ⇄ 化龙车站,,,广州第二巴士客运公司(广州第二客运公司番禺分公司),同名但站点差异大（疑似线路调整）,化龙车站 ⇄ 化龙车站,同名但站点差异大，疑似改线（待人工核对）
番92路/番92路,2,长线)旅游专线(市桥汽车站 ⇄ 莲花山车站 / 长线)旅游专线(莲花山车站 ⇄ 市桥汽车站,,,广州锦信客运公司,同名但站点差异大（疑似线路调整）,市桥汽车站总站 ⇄ 地铁石碁站 / 地铁石碁站 ⇄ 市桥汽车站总站,同名但站点差异大，疑似改线（待人工核对）
南沙K6路,2,蕉门公交总站 ⇄ 富民商务中心 / 富民商务中心 ⇄ 蕉门公交总站,05:30,20:30,广州巴士集团南沙巴士有限公司,同名但站点差异大（疑似线路调整）,蕉门公交总站 ⇄ 富民商务中心公交站（政务服务中心） / 富民商务中心公交站（政务服务中心） ⇄ 蕉门公交总站,同名但站点差异大，疑似改线（待人工核对）
增城16路,2,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,,,广州粤运客运公司,同名但站点差异大（疑似线路调整）,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,同名但站点差异大，疑似改线（待人工核对）
增城53路,2,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村,07:30,16:10,广州二汽客运公司增城分公司,同名但站点差异大（疑似线路调整）,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村,同名但站点差异大，疑似改线（待人工核对）
12A路环线,1,万科四季花城总站 ⇄ 万科四季花城总站,,,广州第一巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
181路,2,坑口地铁站总站 ⇄ 景泰坑总站 / 景泰坑临时总站 ⇄ 坑口地铁站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
18路,2,体育中心 ⇄ 赤沙总站 / 赤沙总站 ⇄ 体育中心,,,第一巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
19路直达快线,2,广州城市理工学院 ⇄ 百寿南路 / 百寿南路 ⇄ 广州城市理工学院,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
201路,2,先烈南路总站 ⇄ 犀牛角村总站 / 犀牛角村总站 ⇄ 先烈南路总站,,,广州巴士集团有限公司第二分公司一车队,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
209路,2,坦尾总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 坦尾总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
238路,2,康王路总站(上下九) ⇄ 石井潭村总站 / 石井潭村总站 ⇄ 康王路总站(上下九),,,广州第一巴士客运公司(广州新穗巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
257路,2,天河客运站总站 ⇄ 广州火车站总站 / 广州火车站总站 ⇄ 天河客运站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
285路无轨电车短线,2,云台花园总站 ⇄ 江湾桥南 / 江湾桥南 ⇄ 云台花园总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
303A路,2,广州南站总站 ⇄ 琶洲塔公交总站 / 琶洲塔公交总站 ⇄ 广州南站总站,,,广州番广客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
307路/佛307路,2,榄核公交总站 ⇄ 科目二考场 / 科目二考场 ⇄ 榄核公交总站,06:30,22:00,佛山顺德顺汽客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
310路高峰短线,2,南浦岛总站 ⇄ 地铁大石站总站 / 地铁大石总站 ⇄ 南浦岛总站,,,广州公交集团(广州番广客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
314路,2,宝墨园总站 ⇄ 顺德客运总站 / 顺德客运总站 ⇄ 番禺宝墨园,06:30,22:00,佛山顺德鸿运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
328路支线,2,天鹅谷总站 ⇄ 萝岗中医院 / 萝岗中医院 ⇄ 天鹅谷总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
32路,2,华工大总站 ⇄ 黄石路总站 / 黄石路总站 ⇄ 华工大总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
332路,1,长江路总站 ⇄ 长江路总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
333A路,2,天鹿湖老年人护理中心总站 ⇄ 联和总站(惠联路) / 联和总站(惠联路) ⇄ 天鹿湖老年人护理中心总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
345A路,2,天河客运站总站 ⇄ 永和贤江总站 / 永和贤江总站 ⇄ 天河客运站总站,,,广州第三巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
363路,2,广州火车东站总站 ⇄ 穗港码头总站 / 穗港码头总站 ⇄ 广州火车东站总站,06:30,20:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
374路,2,湖山国际公交总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 湖山国际公交总站,07:00,21:00,广州第三巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
390路,2,华坑生态村总站 ⇄ 科学城南部公交场总站 / 科学城南部公交场总站 ⇄ 华坑生态村总站,,,广州第三巴士(广州第三客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
391A路,2,保利爱特城总站 ⇄ 开达路北总站 / 开达路北总站 ⇄ 保利爱特城总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
396A路环线,1,永和贤江总站 ⇄ 永和贤江总站,,,广州第三巴士客运公司;广州珍宝巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
397路短线快线,2,丹水坑风景区总站 ⇄ 南岗站 / 南岗 ⇄ 丹水坑风景区总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
