本地站点ID,本地站名,合并站名,车来了站名,physicalStId,namesakeStId,经度,纬度,匹配距离m
BV10013925,恒福路总站,恒福路总站,恒福路总站,ae31e743d6d94e9faafd29f95a5509f0,f81198196e310fd81a88462fada60628,113.279796,23.146796,25
BV11480682,省第二中医院,省第二中医院,省第二中医院,94adfac9ca74495d949807843f0affd1,45454f9c30692e88e0088bfb6be9ced9,113.279996,23.146356,31
BV10013644,淘金北路,淘金北路,淘金北路,a68dd2cfa26748d89037393fa008ca71,46db90039374cda73221ad7c4150be7e,113.282326,23.140746,172
BV11009137,白云宾馆,白云宾馆,白云宾馆4,9fce9b7817844093a375e3b86b4d16f3,166b81fc4bec8387434793468a0b6a82,113.280646,23.139386,288
BV11009136,广东电视台,广东电视台,广东电视台1,ab63945a7a58476c95aaf340e4039395,e22c43f6bdd6b54e300da8cb9d534480,113.277696,23.140386,80
BV11688429,小北,小北,小北①,c22017bd7a6d4adfa08802c2bf9176f9,69bb6df6174d09283d2f755978e7f2e3,113.272236,23.142156,98
BV09316767,小北花圈2,小北花圈,小北花圈②,9c85e3efe7e8493cade6518bd14cfae0,a88c32e54ce9cc1ea75b12045d5c82a7,113.266956,23.139356,192
BV09357063,仓边路2,仓边路,仓边路2,67de504bac7f4f6abe4e87e6b02835cb,e23df6075c868d8b266df3d4c0bce1d9,113.266826,23.130166,22
BV11688482,文德路,文德路,文德路2,e335625b3f0943278b749ec80616a9e9,5ba8c99f291c141c86bad6fd2f8d8207,113.266216,23.126346,91
BV10016184,万福西,万福西,万福西,46b6d51fcc074c86ad9b733e04810c3e,58745daab2120424216cfbfe3d937253,113.265536,23.121986,31
BV10021628,南关,南关,南关,2c75a5e397114004959cfb0e951089c2,32d1177067965ea0dadc4dac3f9f513f,113.265476,23.118586,6
BV11261928,海珠广场(侨光西),海珠广场(侨光西),海珠广场（侨光西）①,d465412916814bb6bdfb6fb1688ec27e,7d72dac342088b21cd32428f22db67a1,113.260066,23.116056,0
BV10021629,南华中,南华中,南华中,69cd14bc14d3401aaad60e990ef8f8aa,1265e7d57dbf1f61772c21030c4cb7cd,113.260546,23.112856,17
BV10885474,堑口,堑口,堑口②,960f7cfed9e548d18e3351ae10d58e03,ae7f9cb4b8ef6a63e21c09dedad0fda6,113.256166,23.110546,123
BV10407959,海幢寺,海幢寺,海幢寺,cb5bf26f868b495daf13a7c6038a1168,cfb8427c69eaa961ca2f9e0ffbb6c842,113.252716,23.108806,7
BV10014585,大基头,大基头,大基头（木偶艺术剧院）,2c243ca3b12a4a1eb96d4a4db6230fed,af9f8c0c264c82580ca4396967404497,113.246696,23.106566,12
BV11688508,洪德路,洪德路,洪德路,f169e4c01c8e4e5187dbf22280c7bd57,8abc6f4177b840c10e47774298d2ec21,113.247086,23.103126,21
BV09006413,革新路口,革新路口,革新路口,b1c8ccac926c4326973b21fcad44068c,f71670a0a7370cd7644144d6364bf63e,113.248766,23.099706,4
BV09005236,梅园西,梅园西,梅园西（地铁凤凰新村站）,e7119c65168347acaadd0100f97197f9,66209f98e3d32f8b30201fc7f7505cbf,113.251166,23.096496,19
BV10018366,凤凰新村(宝业路口),凤凰新村(宝业路口),凤凰新村（宝业路口）①,709d89f736af4cefa68bdfc9922764bc,3c21d1424198977596a28c9511490428,113.252936,23.094136,251
BV09242190,沙园,沙园,沙园1,929c890d9a644ec88cee9971c55e0a1d,8cb283e39701e8bbc088f9f359e358b4,113.256106,23.090026,195
BV10018608,昌岗西路,昌岗西路,昌岗西路,ecfe61c33307437d8915822bdac58e0c,a557445d5d85d9fb1a61a865b0d06b09,113.261196,23.087556,33
BV10014646,昌岗路总站,昌岗路总站,昌岗路总站,b87ba4c120f147a1bc882742579ecc9c,b02b0694182d5fa9b9e6594fbdc79adc,113.265426,23.088476,19
BV11622829,昌岗路口,昌岗路口,昌岗路口,1e43ecf499484d5d9cb4143334285c2b,24d442a5cb8811a5849ed3a0dd839151,113.266506,23.086996,11
BV10021619,南泰路西,南泰路西,南泰路西,c8a2cf9db6ca400b91b5e7eddd91f768,82716974a30e15a4b1563d30510a9aa2,113.265416,23.084126,5
BV10681376,基建新村,基建新村,基建新村1,97c3c9393a9d421ba5e91e84964f7644,f7b5b64ce9b1e05fc842c4fd290bfd40,113.260036,23.085106,63
BV09242190,沙园,沙园,沙园2,5967456c13ae4d73a6c431b5a1e2321f,f1e1c0c0250b982a3506151d2853959e,113.257366,23.088676,3
BV10018366,凤凰新村(宝业路口),凤凰新村(宝业路口),凤凰新村（宝业路口）,4d033d2f27cb4fa9a4b7f20f27c3138e,a752e51257bed570f463648d2ca62d62,113.254426,23.092476,12
BV09005236,梅园西,梅园西,梅园西（地铁凤凰新村站）②,b3cf0962ebd8416b97bbc398f9b02ac1,ef76ebb126a1536874d6f1a942a2cd52,113.252536,23.094986,238
BV09006413,革新路口,革新路口,革新路口②,21192b1f8e3748e78be311997011c4cb,50fef3fdcb475a5c8b8ceb03034c9579,113.248176,23.100936,146
BV11688508,洪德路,洪德路,洪德路②,e942c13ab1d04c3e8450dd1cfa84e7a2,5460dd60f7e3b380beec8199ca9a1636,113.247446,23.102916,60
