站点名,经停线路数
新市墟,48
中山八路,43
国防大厦,38
黄石路口,38
和平新村,37
广医,37
东风西路,36
花园酒店,36
赤岗路口,36
体育中心,35
石牌村,35
罗冲围客运站,35
中医院,34
农林东,34
冼村,34
大北路,34
敦和,34
星海公园,34
白云宾馆,34
赤岗(江海大道),34
东山口(东华北路),33
华侨医院(潭村),33
员村山顶,33
广州火车东站总站,33
广州火车站总站,33
天河,32
富力半岛花园,32
广州大道南(叠景路口),32
机场路岗贝路口(省二医民航院区),32
林和西路,32
珠影(地铁客村站),32
解放中路,32
鹭江,32
梓元岗,31
棠下(三元里大道),31
东升医院,30
人民日报广东分社,30
地铁从化客运站,30
小北,30
市少年宫,30
程界村,30
荔湾路口,30
越秀公园,30
迎宾馆,30
三元里大道中,29
员村四横路口,29
客村立交,29
海珠客运站,29
联和,29
中山纪念堂,28
保利花园(南石头),28
动物园南门,28
南方报社,28
大塘(江海大道),28
机场路,28
洛溪新城,28
解放南路,28
上涌,27
富力环市西苑(西村),27
岗顶,27
怡乐村,27
江南新村(骨伤科医院),27
白云区政务中心,27
省荣军医院(荣校),27
芳村大道西,27
豪景花园,27
越秀桥,27
鹤洞路西,27
上漖,26
上社,26
东风东路(陵园西路口),26
中山医,26
中山大学,26
中山大道东圃站,26
体育中心,26
师大暨大,26
广东工大,26
广师大,26
康乐村,26
棠溪,26
正骨医院,26
沙涌,26
石路基,26
三元里,25
三元里大道北,25
信和广场(昌岗中路),25
北站,25
大沙头游船码头,25
小北花圈,25
小坪,25
山村,25
市中医院,25
广东电视台,25
广医二院,25
广州市培英中学,25
新市,25
桂花岗,25
桥东小区,25
棠下村,25
江海大道中,25
江湾桥脚,25
花地,25
车陂,25
鹤南(兵房街),25
黄石东路(云城西路口),25
龙潭村,25
上元岗,24
中医药大学,24
中山五路,24
体育中心东门,24
华景新城,24
华海大厦,24
南方大厦,24
同和,24
大沙东,24
广州大桥北站(五羊邨),24
广州大道中,24
梅园西,24
棠东,24
江夏(黄石东路中),24
盘福路,24
石牌桥,24
西塱,24
金沙洲路,24
三滘村,23
上涌南,23
六二三路,23
凤凰新村(宝业路口),23
员村,23
地铁浔峰岗站,23
天河北路,23
市红会医院,23
广州体院,23
江湾桥南,23
沙园,23
沥滘,23
海珠区妇幼,23
交电新村,22
交通大厦,22
后滘村,22
堑口,22
宝岗大道中,22
宝岗大道北,22
杨箕村,22
桥中,22
梅花村,22
沙溪村,22
白鹤洞,22
石围塘,22
祥景花园,22
纸厂,22
西湾路,22
越秀南路,22
革新路口,22
马务,22
黄石路,22
三元里大道(桂花岗),21
上九东,21
东风东路(广东工大),21
南岗,21
南村,21
市桥汽车站西门,21
广东大厦,21
江海大道中,21
电视塔,21
蕉门公交总站,21
越秀公园北门,21
车陂路,21
钻汇广场东门,21
锦城花园,21
陈家祠,21
黄沙码头,21
黑山,21
三元里大道口,20
下芳村,20
东峻广场,20
五洲装饰城(地铁厦滘站),20
人和墟(万家福广场),20
仓边路,20
克山,20
夏茅,20
大沙西,20
大观中路(新塘大街),20
大观中路南,20
广佛路东,20
广园中路,20
广园客运站,20
执信路,20
景泰坑,20
机场立交北,20
林和中路,20
橡胶新村,20
武警医院,20
江南大道北,20
流溪河大桥,20
海印桥南,20
滨江东路,20
燕塘企业,20
琶洲大桥北,20
科学城路口,20
科韵路棠安路口,20
萝岗香雪牌坊,20
黄石东路口,20
黄花岗,20
东晓南路,19
东风中路,19
丰乐北路,19
云城南,19
人和墟(万家福广场),19
元下田,19
农讲所,19
南岗化工厂,19
南方医院,19
同德乡,19
基立下道,19
大新路口,19
天朗明居,19
天河南,19
宏威路口,19
宝岗大道南,19
小坪立交桥,19
广州体育馆,19
文德路,19
洛溪桥脚,19
洪德路,19
烈士陵园,19
科学大道口,19
科韵路,19
芳村,19
西基东,19
金沙洲大桥西,19
金贵村,19
银河园,19
黄岐城区,19
上步村,18
东区路口,18
东坑,18
东方花园,18
中山七路,18
人爱医院(龙珠路),18
从化汽车站总站,18
冶金技校,18
塘埗西,18
增城广场北,18
大同村,18
大石,18
家家乐医院,18
广州南站总站,18
江南大道中,18
涌口村牌坊,18
环市西路(广园西路口),18
琶洲大桥南,18
白云路东,18
盈翠华庭,18
礼岗,18
西场电器城,18
西湾和苑,18
邝维煜中学,18
金城大厦,18
陈田村,18
鹅掌坦,18
黄埔区少年宫,18
严田村,17
丹水坑,17
云台花园,17
五山路口,17
人民南路,17
军体院,17
南洲名苑,17
南洲路口,17
员村东,17
地铁大观南路站,17
地铁汉溪长隆G站,17
基建新村,17
大南路,17
大沙头,17
天寿路,17
太和文化广场,17
奥林匹克中心西门,17
广场西路,17
广外(白云山西门),17
广州大桥北(五羊邨),17
广花一路(夏花一路口),17
惠福路,17
文冲幸福里,17
新滘东路中,17
横滘,17
海珠广场(一德东),17
爱群大厦,17
珠江医院,17
白江地铁站,17
省军区,17
石溪,17
花地大道,17
芳村客运站,17
草暖公园,17
草河村,17
车陂公交场,17
金海岸花园,17
雕塑公园,17
黄村,17
下塘西路,16
中保人寿,16
中山六路,16
丹山桥,16
云台花园,16
五凤乡,16
人和华侨医院,16
区政府东门,16
华南碧桂园,16
华林寺,16
南大路口,16
南沙牌坊站,16
吉祥道,16
嘉禾望岗总站,16
地铁傍江站(政务服务中心),16
地铁市二宫站,16
地铁洛溪站(新浦路),16
坑口地铁站,16
塘头,16
大冲口,16
大石桥南,16
大罗村(市广路),16
天河客运站,16
天河立交,16
天河邮局,16
宏光路口,16
小新塘,16
市交校,16
广州北站(秀全大道),16
康乃馨花园,16
康王中路,16
开创大道(连云路口),16
开发大道立交东,16
德宝花园,16
新好景,16
松南街口,16
松南路口,16
民营工业园,16
汾水,16
浔峰山东路北,16
涌口村,16
濂泉路口,16
猎德,16
王圣堂,16
珠江泳场,16
琶洲,16
瑞南新村,16
瑶台,16
番禺广场,16
省妇幼,16
综合商业北区(临时站),16
荔湾路,16
西门口(中山六路),16
车陂南,16
香雪公寓(广州国际人才城),16
黄埔体育馆,16
黄埔大道,16
黄石路,16
龙口东,16
龙溪立交南(坑口牌坊),16
中大北门,15
中山图书馆,15
丹山村(桥兴大道),15
体育东路,15
何贤医院(清河东路),15
嘉洲广场,15
地铁太和站,15
地铁植物园站,15
地铁横沙站,15
地铁白云公园站,15
大东门(中山三路),15
姓钟围,15
左边村,15
师大后门,15
广佛路口(滘口客运站),15
广卫路总站,15
开创大道口,15
开发区路口,15
彩虹桥,15
惠福西,15
文明路,15
新滘中路(地铁龙潭站),15
时代广场,15
晓港新村,15
晓港湾,15
松北,15
松园里,15
柯子岭,15
棠德花苑北,15
江高,15
沙河,15
猎德东,15
省农干科干院,15
石井中学,15
花地大道中,15
芳村合兴苑,15
芳村隧道口,15
荔红中路,15
荔红二路,15
车陂路北,15
邮电大厦(清河东路),15
鹤洞新村,15
龙口西,15
龙潭村牌坊,15
万博中心,14
东华南路,14
东漖镇,14
东秀园,14
丰乐北横路口,14
保盈大道站,14
凤和庄,14
区庄立交西,14
华贵路口,14
南浦大桥南(沿沙路),14
同德围,14
增城广场西,14
夏园,14
大德路,14
大沙地,14
天河东路,14
奥体南路,14
如意三马路,14
姬堂,14
广从一路(荟贤路口),14
广园天寿路口东,14
康王北路(东风路口),14
康王南路,14
开源大道,14
德康路,14
新世纪广场,14
新滘西路口,14
新雅街道办,14
昌岗路口,14
望岗,14
林和东路,14
榕溪,14
江高路口,14
沙墟市场,14
泽德花苑,14
洛涛南区,14
流花(南部战区总医院),14
环洲三路,14
珠江广场,14
珠江村,14
电力局,14
省中医院,14
碧山村,14
礼村,14
翠竹苑,14
胡忠医院,14
花地大道北(花地湾),14
萝岗村口,14
远景路,14
里仁洞,14
金名都,14
金碧花园,14
长堤(民间金融街),14
顺欣花园,14
黄埔区儿童公园,14
黄埔区青少年宫(萝岗宫),14
黄石东,14
龙溪大道东(教师新村),14
一五七医院,13
万博翠湖花园,13
万胜围,13
万达广场,13
三华村,13
上堂,13
东怡新区,13
中医院,13
中大北门西,13
云桂村,13
体育西路,13
保利红棉花园,13
党校路口,13
农林下路,13
农科院,13
华侨城,13
华观路,13
南村医院,13
南村综合市场,13
嘉禾望岗站,13
嘉鸿花园,13
地铁棠东站,13
地铁横沥站,13
增城广场地铁总站,13
夏港,13
大转弯,13
天河软件园管委会,13
奥林匹克体育中心总站,13
富石路(群贤路口),13
富豪山庄,13
小罗村(市广路),13
岑村小学,13
岑村红花岗,13
市桥汽车站,13
广交会展馆,13
广州白云站公交总站,13
开创大道,13
开源大道(云信路口),13
德信路,13
文化公园,13
梅花园,13
植物园正门,13
永和隧道南,13
永泰路口,13
沙凤,13
洛城中学,13
洛涛居,13
洲村,13
洲村市场,13
浣花路,13
海港花园,13
清河市场,13
演艺中心北门,13
灵山岛,13
琶洲村,13
番禺大道南(东怡新区),13
白云山管理局,13
白云路总站,13
石涌口,13
科丰路(科林路口)站,13
综合商业南区,13
老干大学,13
肿瘤医院,13
节能科技园,13
草场,13
荷村,13
蕉门地铁站,13
车陂总站,13
金沙路,13
靖海路口,13
黄沙大道,13
龙美牌坊,13
万福西,12
三宝墟,12
东塱,12
东漖南路,12
云城东路(云城南三路口),12
人民北路(站南路口),12
先烈南路,12
公路局,12
冼庄立交,12
创业路,12
前进路,12
动物园,12
励业路口站,12
华观路(火炉山森林公园),12
南岸路,12
地铁市广路站,12
地铁长湴站,12
大岗公交总站,12
大沙东(黄埔海关),12
天河客运站总站,12
太成村,12
如意坊,12
射击场,12
市三宫,12
市二宫,12
市桥汽车站东门,12
广大公寓,12
广大生活区,12
广船,12
开创大道中(南方物流),12
开发区医院,12
新华市场,12
星光汇摩登百货,12
木壳岭,12
桥东,12
梅园新村,12
槎头,12
河东广场,12
海珠客运站总站,12
海珠广场(侨光东),12
滘口客运站总站,12
犀牛路口,12
珠村,12
番禺中心医院总站,12
百顺南路,12
盐步路口,12
省第二中医院,12
石岗村(亚运大道)站,12
石槎路中,12
磨碟沙,12
科甲水,12
站前路北,12
维多利广场,12
聚龙工业区,12
花地大道(海南村),12
茶漖小区,12
西门口(人民北路),12
解放南路口,12
软件路,12
边防指挥学校,12
金山谷花园,12
雅瑶医院,12
雅瑶市场,12
骏业路口,12
鸡颈坑,12
黄埔区图书馆(香雪馆),12
龙珠路东,12
万福东,11
万福路,11
东方名都,11
东漖怀宁坊,11
东漖街,11
中新地铁站,11
云山中学(龙珠路),11
人民中路,11
人民北路,11
伍仙桥,11
体育花园,11
供电局,11
元岗横路,11
光明北路,11
兴华路口,11
农校职中,11
冼村路北,11
凌塘村,11
华农大正门,11
华工大,11
华甫村,11
友谊路,11
嘉禾长湴,11
地铁太平站,11
地铁钟落潭站,11
地铁长平站,11
城西花园,11
基立村,11
大华市场,11
大岗中心小学站,11
大岗派出所,11
大江路口,11
天平架总站,11
天源路中,11
太和中路,11
太石工业区,11
崇和花园,11
市政园林局,11
平沙,11
广东药学院,11
广东软件园,11
广州体育馆南门,11
广州大道中,11
新华街道办,11
新塘公园,11
望岗大道,11
林乐路,11
永泰新村,11
永泰新村口,11
汇景大道,11
渔尾大桥东,11
燕子岗,11
猎德大道北,11
环洲三路西,11
珠江桥脚,11
琶洲塔,11
白云路,11
真光中学,11
科学院,11
科学院地化所,11
科韵路中,11
站前路中,11
绿庭雅苑,11
群星花园,11
联桂北,11
芳园路口,11
芳村西塱总站,11
荔红路,11
莲溪,11
萝坎村,11
萝岗香雪总站,11
萝峰小学,11
萝峰村口,11
西场立交,11
解放北路,11
财厅,11
起义路,11
车辆厂技校,11
金洲站,11
钟村市场,11
锦绣文化中心,11
